#Wavelength (cm)	Flux (erg s-1 cm-3)
1e-05	13003167984.487467
1.0005e-05	13129858379.197119
1.00100025e-05	13256612119.10413
1.0015007501249999e-05	13383429235.88111
1.0020015005000623e-05	13510309761.216461
1.0025025012503123e-05	13637253726.814474
1.0030037525009374e-05	13764261164.395317
1.0035052543771878e-05	13891332105.69491
1.0040070070043764e-05	14018466582.465189
1.0045090105078785e-05	14145664626.473837
1.0050112650131324e-05	14272926269.50451
1.0055137706456389e-05	14400251543.35666
1.0060165275309616e-05	14527640479.845749
1.006519535794727e-05	14655093110.803072
1.0070227955626243e-05	14782609468.075901
1.0075263069604055e-05	14910189583.527342
1.0080300701138856e-05	15037833489.036514
1.0085340851489426e-05	15165541216.498459
1.009038352191517e-05	15293312797.824146
1.0095428713676127e-05	15421148264.940466
1.0100476428032965e-05	15549047649.790367
1.0105526666246981e-05	15677010984.332678
1.0110579429580105e-05	15805038300.54228
1.0115634719294895e-05	15933129630.40998
1.0120692536654542e-05	16061285005.942598
1.0125752882922869e-05	16189504459.163006
1.013081575936433e-05	16317788022.109997
1.0135881167244011e-05	16446135726.838469
1.0140949107827633e-05	16574547605.419321
1.0146019582381546e-05	16703023689.93943
1.0151092592172736e-05	16831564012.501804
1.0156168138468821e-05	16960168605.225468
1.0161246222538055e-05	17088837500.245495
1.0166326845649323e-05	17217570729.71302
1.0171410009072148e-05	17346368325.795303
1.0176495714076684e-05	17475230320.675636
1.0181583961933721e-05	17604156746.553387
1.0186674753914688e-05	17733147635.644077
1.0191768091291644e-05	17862203020.179317
1.019686397533729e-05	17991322932.406815
1.0201962407324957e-05	53087695185.164474
1.0207063388528619e-05	144108863243.81204
1.0212166920222883e-05	235175541886.50043
1.0217273003682993e-05	326287753868.4927
1.0222381640184834e-05	417445521956.4783
1.0227492831004925e-05	508648868928.51263
1.0232606577420428e-05	599897817574.0474
1.0237722880709138e-05	691192390693.9004
1.0242841742149492e-05	782532611100.3156
1.0247963163020567e-05	873918501616.9331
1.0253087144602076e-05	965350085078.7897
1.0258213688174376e-05	1056827384332.3784
1.0263342795018462e-05	1050581900449.9595
1.026847446641597e-05	992061949573.9283
1.0273608703649178e-05	933512738722.46
1.0278745508001002e-05	874934253265.5674
1.0283884880755002e-05	816326478565.9417
1.0289026823195379e-05	757689399978.9716
1.0294171336606976e-05	699023002852.7046
1.029931842227528e-05	640327272527.8668
1.0304468081486416e-05	581602194337.8816
1.0309620315527159e-05	522847753608.79297
1.0314775125684922e-05	464063935659.3419
1.0319932513247765e-05	405250725800.90967
1.0325092479504388e-05	346408109337.5553
1.0330255025744139e-05	287536071565.9778
1.0335420153257011e-05	228634597775.49622
1.0340587863333639e-05	169703673248.1272
1.0345758157265306e-05	110743283258.48865
1.0350931036343938e-05	62315697367.56868
1.035610650186211e-05	62010192894.838234
1.0361284555113042e-05	61704535669.87143
1.0366465197390597e-05	61398725616.29223
1.0371648429989291e-05	61092762657.68621
1.0376834254204286e-05	60786646717.600845
1.0382022671331387e-05	60480377719.5455
1.0387213682667053e-05	60173955586.991066
1.0392407289508385e-05	59867380243.37039
1.039760349315314e-05	59560651612.077866
1.0402802294899715e-05	59253769616.46976
1.0408003696047164e-05	58946734179.86384
1.0413207697895187e-05	58639545225.53958
1.0418414301744134e-05	58332202676.73817
