#Wavelength (cm)	Flux (erg s-1 cm-3)
1e-05	2389646504.272972
1.0005e-05	2412928927.387405
1.00100025e-05	2436222991.7133956
1.0015007501249999e-05	2459528703.0715523
1.0020015005000623e-05	2482846067.2853847
1.0025025012503123e-05	2506175090.181323
1.0030037525009374e-05	2529515777.588715
1.0035052543771878e-05	2552868135.339803
1.0040070070043764e-05	2576232169.2697735
1.0045090105078785e-05	2599607885.2167063
1.0050112650131324e-05	2622995289.021616
1.0055137706456389e-05	2646394386.5284214
1.0060165275309616e-05	2669805183.5839815
1.006519535794727e-05	2693227686.038069
1.0070227955626243e-05	2716661899.743387
1.0075263069604055e-05	2740107830.5555544
1.0080300701138856e-05	2763565484.3331285
1.0085340851489426e-05	2787034866.937595
1.009038352191517e-05	2810515984.233365
1.0095428713676127e-05	2834008842.087778
1.0100476428032965e-05	2857513446.3711224
1.0105526666246981e-05	2881029802.9566054
1.0110579429580105e-05	2904557917.720385
1.0115634719294895e-05	2928097796.541546
1.0120692536654542e-05	2951649445.3021135
1.0125752882922869e-05	2975212869.887066
1.013081575936433e-05	2998788076.184306
1.0135881167244011e-05	3022375070.084696
1.0140949107827633e-05	3045973857.4820395
1.0146019582381546e-05	3069584444.2730746
1.0151092592172736e-05	3093206836.3575068
1.0156168138468821e-05	3116841039.637983
1.0161246222538055e-05	3140487060.020099
1.0166326845649323e-05	3164144903.412404
1.0171410009072148e-05	3187814575.726411
1.0176495714076684e-05	3211496082.8765745
1.0181583961933721e-05	3235189430.78031
1.0186674753914688e-05	3258894625.3579974
1.0191768091291644e-05	3282611672.5329742
1.019686397533729e-05	3306340578.2315373
1.0201962407324957e-05	9756147530.39259
1.0207063388528619e-05	26483487846.665768
1.0212166920222883e-05	43219191833.0992
1.0217273003682993e-05	59963263671.52262
1.0222381640184834e-05	76715707545.86569
1.0227492831004925e-05	93476527642.14682
1.0232606577420428e-05	110245728148.47874
1.0237722880709138e-05	127023313255.06297
1.0242841742149492e-05	143809287154.2009
1.0247963163020567e-05	160603654040.28827
1.0253087144602076e-05	177406418109.81516
1.0258213688174376e-05	194217583561.37698
1.0263342795018462e-05	193069824896.34088
1.026847446641597e-05	182315369043.12396
1.0273608703649178e-05	171555535961.98062
1.0278745508001002e-05	160790322964.29697
1.0283884880755002e-05	150019727360.1136
1.0289026823195379e-05	139243746458.12915
1.0294171336606976e-05	128462377565.69307
1.029931842227528e-05	117675617988.80937
1.0304468081486416e-05	106883465032.14
1.0309620315527159e-05	96085915998.9907
1.0314775125684922e-05	85282968191.32526
1.0319932513247765e-05	74474618909.75478
1.0325092479504388e-05	63660865453.54483
1.0330255025744139e-05	52841705120.60834
1.0335420153257011e-05	42017135207.502014
1.0340587863333639e-05	31187153009.440582
1.0345758157265306e-05	20351755820.279022
1.0350931036343938e-05	11452016043.58205
1.035610650186211e-05	11395872210.312265
1.0361284555113042e-05	11339700305.125847
1.0366465197390597e-05	11283500313.98685
1.0371648429989291e-05	11227272222.852282
1.0376834254204286e-05	11171016017.672134
1.0382022671331387e-05	11114731684.389412
1.0387213682667053e-05	11058419208.940033
1.0392407289508385e-05	11002078577.25294
1.039760349315314e-05	10945709775.249994
1.0402802294899715e-05	10889312788.846058
1.0408003696047164e-05	10832887603.94892
1.0413207697895187e-05	10776434206.459326
1.0418414301744134e-05	10719952582.270988
1.0423623508895005e-05	10663442717.270557
1.0428835320649452e-05	10606904597.337631
1.0434049738309776e-05	10550338208.34473
1.043926676317893e-05	10493743536.157335
1.0444486396560519e-05	10437120566.633854
1.0449708639758799e-05	10380469285.625599
1.0454933494078678e-05	10323789678.976847
1.0460160960825716e-05	10267081732.524776
1.0465391041306128e-05	10210345432.099476
1.047062373682678e-05	10153580763.523956
1.0475859048695193e-05	10096787712.614159
1.048109697821954e-05	10039966265.178902
1.0486337526708649e-05	9983116407.01992
1.0491580695472002e-05	9926238123.931871
1.0496826485819737e-05	9869331401.702276
1.0502074899062647e-05	9812396226.111551
1.0507325936512178e-05	9755432582.933035
1.0512579599480434e-05	9698440457.932934
1.0517835889280174e-05	9641419836.870323
1.0523094807224814e-05	9584370705.49719
1.0528356354628426e-05	9527293049.558369
1.053362053280574e-05	9470186854.79158
1.0538887343072141e-05	9413052106.927418
1.0544156786743677e-05	9355888791.689308
1.054942886513705e-05	9298696894.793581
1.0554703579569616e-05	9241476401.949419
1.0559980931359401e-05	9184227298.858822
1.056526092182508e-05	9126949571.21669
1.0570543552285992e-05	9069643204.710724
1.0575828824062135e-05	9012308185.021511
1.0581116738474165e-05	8954944497.822456
1.0586407296843401e-05	8897552128.77981
1.0591700500491821e-05	8840131063.55264
1.0596996350742067e-05	8782681287.792849
1.0602294848917437e-05	8763953957.141281
1.0607595996341894e-05	8795962703.876953
1.0612899794340065e-05	8827987454.985998
1.0618206244237235e-05	8860028218.470602
1.0623515347359354e-05	8892085002.336946
1.0628827105033032e-05	8924157814.595215
1.0634141518585548e-05	8956246663.25962
1.063945858934484e-05	8988351556.348356
1.0644778318639512e-05	9020472501.883633
1.0650100707798832e-05	9052609507.891684
1.0655425758152731e-05	9084762582.402739
1.0660753471031808e-05	9116931733.45105
1.0666083847767323e-05	9149116969.074877
