#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.837E+04	2657.8	1.000E+08
1.729E+04	2643.3	1.000E+08
1.533E+04	2634.3	1.000E+08
1.359E+04	2624.2	1.000E+08
1.204E+04	2614.1	1.000E+08
1.068E+04	2604.1	1.000E+08
9.463E+03	2594.1	1.000E+08
8.388E+03	2584.0	1.000E+08
7.435E+03	2573.8	1.000E+08
6.590E+03	2563.5	1.000E+08
5.841E+03	2553.1	1.000E+08
5.178E+03	2542.7	1.000E+08
4.589E+03	2532.4	1.000E+08
4.068E+03	2522.1	1.000E+08
3.606E+03	2511.8	1.000E+08
3.196E+03	2501.6	1.000E+08
2.833E+03	2491.4	1.000E+08
2.511E+03	2481.6	1.000E+08
2.226E+03	2472.0	1.000E+08
1.973E+03	2462.8	1.000E+08
1.749E+03	2453.9	1.000E+08
1.550E+03	2445.4	1.000E+08
1.374E+03	2437.3	1.000E+08
1.218E+03	2429.7	1.000E+08
1.079E+03	2422.7	1.000E+08
9.568E+02	2416.4	1.000E+08
8.481E+02	2410.6	1.000E+08
7.517E+02	2405.7	1.000E+08
6.663E+02	2401.6	1.000E+08
5.906E+02	2398.5	1.000E+08
5.235E+02	2396.7	1.000E+08
4.640E+02	2396.1	1.000E+08
4.113E+02	2396.7	1.000E+08
3.646E+02	2398.5	1.000E+08
3.232E+02	2401.5	1.000E+08
2.864E+02	2405.7	1.000E+08
2.539E+02	2411.1	1.000E+08
2.250E+02	2417.9	1.000E+08
1.995E+02	2425.8	1.000E+08
1.768E+02	2435.2	1.000E+08
1.567E+02	2447.6	1.000E+08
1.389E+02	2464.6	1.000E+08
1.231E+02	2489.7	1.000E+08
1.091E+02	2526.1	1.000E+08
9.674E+01	2574.6	1.000E+08
8.575E+01	2629.9	1.000E+08
7.601E+01	2673.8	1.000E+08
6.737E+01	2707.3	1.000E+08
5.972E+01	2733.8	1.000E+08
5.293E+01	2755.3	1.000E+08
4.692E+01	2772.6	1.000E+08
4.159E+01	2786.7	1.000E+08
3.686E+01	2798.7	1.000E+08
3.267E+01	2809.0	1.000E+08
2.896E+01	2818.3	1.000E+08
2.567E+01	2827.0	1.000E+08
2.275E+01	2835.3	1.000E+08
2.017E+01	2843.1	1.000E+08
1.788E+01	2850.8	1.000E+08
1.585E+01	2858.4	1.000E+08
1.405E+01	2865.9	1.000E+08
1.245E+01	2873.6	1.000E+08
1.104E+01	2881.3	1.000E+08
9.782E+00	2889.1	1.000E+08
8.670E+00	2897.0	1.000E+08
7.685E+00	2904.9	1.000E+08
6.812E+00	2912.9	1.000E+08
6.038E+00	2921.0	1.000E+08
5.352E+00	2929.1	1.000E+08
4.744E+00	2937.2	1.000E+08
4.205E+00	2945.2	1.000E+08
3.727E+00	2953.1	1.000E+08
3.304E+00	2960.9	1.000E+08
2.928E+00	2968.6	1.000E+08
2.596E+00	2976.1	1.000E+08
2.301E+00	2983.4	1.000E+08
2.039E+00	2990.4	1.000E+08
1.808E+00	2997.1	1.000E+08
1.602E+00	3003.2	1.000E+08
1.420E+00	3008.9	1.000E+08
1.259E+00	3014.5	1.000E+08
1.116E+00	3019.9	1.000E+08
9.890E-01	3025.1	1.000E+08
8.766E-01	3029.7	1.000E+08
7.770E-01	3034.4	1.000E+08
6.888E-01	3039.3	1.000E+08
6.105E-01	3044.5	1.000E+08
5.411E-01	3050.0	1.000E+08
4.797E-01	3055.7	1.000E+08
4.252E-01	3061.5	1.000E+08
3.769E-01	3067.2	1.000E+08
3.340E-01	3072.3	1.000E+08
2.961E-01	3076.8	1.000E+08
2.624E-01	3080.3	1.000E+08
2.326E-01	3082.6	1.000E+08
2.062E-01	3083.8	1.000E+08
1.828E-01	3083.2	1.000E+08
1.620E-01	3087.5	1.000E+08
1.436E-01	3100.4	1.000E+08
1.273E-01	3123.4	1.000E+08
1.128E-01	3157.3	1.000E+08
1.000E-01	3202.6	1.000E+08
