#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
9.186E+04	2937.7	1.000E+08
8.579E+04	2935.9	1.000E+08
7.484E+04	2933.9	1.000E+08
6.528E+04	2931.7	1.000E+08
5.694E+04	2929.4	1.000E+08
4.967E+04	2927.1	1.000E+08
4.333E+04	2924.7	1.000E+08
3.780E+04	2922.4	1.000E+08
3.297E+04	2919.9	1.000E+08
2.876E+04	2917.3	1.000E+08
2.509E+04	2914.4	1.000E+08
2.188E+04	2911.3	1.000E+08
1.909E+04	2907.8	1.000E+08
1.665E+04	2903.9	1.000E+08
1.452E+04	2899.6	1.000E+08
1.267E+04	2895.0	1.000E+08
1.105E+04	2890.0	1.000E+08
9.641E+03	2884.5	1.000E+08
8.410E+03	2878.4	1.000E+08
7.336E+03	2871.6	1.000E+08
6.399E+03	2864.1	1.000E+08
5.582E+03	2856.1	1.000E+08
4.869E+03	2847.7	1.000E+08
4.247E+03	2839.0	1.000E+08
3.705E+03	2829.9	1.000E+08
3.232E+03	2820.5	1.000E+08
2.819E+03	2811.1	1.000E+08
2.459E+03	2801.8	1.000E+08
2.145E+03	2792.8	1.000E+08
1.871E+03	2784.2	1.000E+08
1.632E+03	2775.8	1.000E+08
1.424E+03	2768.2	1.000E+08
1.242E+03	2762.0	1.000E+08
1.083E+03	2758.2	1.000E+08
9.450E+02	2757.6	1.000E+08
8.243E+02	2761.1	1.000E+08
7.190E+02	2770.7	1.000E+08
6.272E+02	2789.8	1.000E+08
5.471E+02	2822.6	1.000E+08
4.772E+02	2870.4	1.000E+08
4.163E+02	2922.0	1.000E+08
3.631E+02	2961.5	1.000E+08
3.168E+02	2996.4	1.000E+08
2.763E+02	3032.3	1.000E+08
2.410E+02	3063.3	1.000E+08
2.103E+02	3088.7	1.000E+08
1.834E+02	3108.8	1.000E+08
1.600E+02	3125.1	1.000E+08
1.396E+02	3138.4	1.000E+08
1.217E+02	3149.2	1.000E+08
1.062E+02	3158.0	1.000E+08
9.263E+01	3165.1	1.000E+08
8.080E+01	3171.1	1.000E+08
7.048E+01	3176.8	1.000E+08
6.148E+01	3182.6	1.000E+08
5.363E+01	3189.4	1.000E+08
4.678E+01	3197.7	1.000E+08
4.081E+01	3207.7	1.000E+08
3.559E+01	3220.0	1.000E+08
3.105E+01	3235.2	1.000E+08
2.708E+01	3253.1	1.000E+08
2.363E+01	3273.1	1.000E+08
2.061E+01	3294.6	1.000E+08
1.798E+01	3315.2	1.000E+08
1.568E+01	3335.3	1.000E+08
1.368E+01	3354.7	1.000E+08
1.193E+01	3372.9	1.000E+08
1.041E+01	3390.4	1.000E+08
9.079E+00	3406.4	1.000E+08
7.920E+00	3421.1	1.000E+08
6.908E+00	3434.8	1.000E+08
6.026E+00	3447.5	1.000E+08
5.257E+00	3459.1	1.000E+08
4.585E+00	3469.8	1.000E+08
4.000E+00	3479.8	1.000E+08
3.489E+00	3489.2	1.000E+08
3.043E+00	3497.7	1.000E+08
2.655E+00	3505.0	1.000E+08
2.316E+00	3511.2	1.000E+08
2.020E+00	3516.6	1.000E+08
1.762E+00	3521.0	1.000E+08
1.537E+00	3524.6	1.000E+08
1.341E+00	3527.5	1.000E+08
1.170E+00	3529.7	1.000E+08
1.020E+00	3531.2	1.000E+08
8.899E-01	3531.7	1.000E+08
7.763E-01	3532.0	1.000E+08
6.771E-01	3532.2	1.000E+08
5.907E-01	3532.6	1.000E+08
5.152E-01	3533.3	1.000E+08
4.494E-01	3534.3	1.000E+08
3.921E-01	3535.5	1.000E+08
3.420E-01	3536.7	1.000E+08
2.983E-01	3537.6	1.000E+08
2.602E-01	3538.0	1.000E+08
2.270E-01	3537.6	1.000E+08
1.980E-01	3536.7	1.000E+08
1.727E-01	3536.5	1.000E+08
1.507E-01	3540.1	1.000E+08
1.314E-01	3550.1	1.000E+08
1.146E-01	3557.1	1.000E+08
1.000E-01	3553.3	1.000E+08
