#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
4.767E+00	1669.1	1.000E+08
4.676E+00	2209.6	1.000E+08
4.500E+00	2214.6	1.000E+08
4.330E+00	2228.0	1.000E+08
4.167E+00	2243.1	1.000E+08
4.010E+00	2254.7	1.000E+08
3.858E+00	2264.4	1.000E+08
3.713E+00	2272.7	1.000E+08
3.573E+00	2280.0	1.000E+08
3.438E+00	2286.5	1.000E+08
3.308E+00	2292.3	1.000E+08
3.184E+00	2297.6	1.000E+08
3.063E+00	2302.5	1.000E+08
2.948E+00	2306.9	1.000E+08
2.837E+00	2311.0	1.000E+08
2.730E+00	2314.8	1.000E+08
2.627E+00	2318.5	1.000E+08
2.528E+00	2321.9	1.000E+08
2.432E+00	2325.1	1.000E+08
2.341E+00	2328.2	1.000E+08
2.252E+00	2331.2	1.000E+08
2.167E+00	2334.0	1.000E+08
2.086E+00	2336.7	1.000E+08
2.007E+00	2339.2	1.000E+08
1.931E+00	2341.7	1.000E+08
1.858E+00	2344.1	1.000E+08
1.788E+00	2346.4	1.000E+08
1.721E+00	2348.7	1.000E+08
1.656E+00	2350.8	1.000E+08
1.593E+00	2352.9	1.000E+08
1.533E+00	2355.0	1.000E+08
1.475E+00	2357.0	1.000E+08
1.420E+00	2358.9	1.000E+08
1.366E+00	2360.7	1.000E+08
1.315E+00	2362.6	1.000E+08
1.265E+00	2364.3	1.000E+08
1.217E+00	2366.0	1.000E+08
1.171E+00	2367.7	1.000E+08
1.127E+00	2369.3	1.000E+08
1.085E+00	2370.9	1.000E+08
1.044E+00	2372.5	1.000E+08
1.004E+00	2374.0	1.000E+08
9.666E-01	2375.5	1.000E+08
9.301E-01	2376.9	1.000E+08
8.950E-01	2378.4	1.000E+08
8.613E-01	2379.7	1.000E+08
8.288E-01	2381.1	1.000E+08
7.975E-01	2382.4	1.000E+08
7.674E-01	2383.7	1.000E+08
7.385E-01	2385.0	1.000E+08
7.106E-01	2386.2	1.000E+08
6.838E-01	2387.4	1.000E+08
6.580E-01	2388.6	1.000E+08
6.332E-01	2389.7	1.000E+08
6.093E-01	2390.8	1.000E+08
5.863E-01	2391.9	1.000E+08
5.642E-01	2393.0	1.000E+08
5.429E-01	2394.0	1.000E+08
5.225E-01	2395.0	1.000E+08
5.028E-01	2396.0	1.000E+08
4.838E-01	2397.0	1.000E+08
4.655E-01	2397.9	1.000E+08
4.480E-01	2398.8	1.000E+08
4.311E-01	2399.7	1.000E+08
4.148E-01	2400.6	1.000E+08
3.992E-01	2401.4	1.000E+08
3.841E-01	2402.2	1.000E+08
3.696E-01	2403.0	1.000E+08
3.557E-01	2403.8	1.000E+08
3.423E-01	2404.5	1.000E+08
3.294E-01	2405.2	1.000E+08
3.169E-01	2406.0	1.000E+08
3.050E-01	2406.7	1.000E+08
2.935E-01	2407.3	1.000E+08
2.824E-01	2408.0	1.000E+08
2.718E-01	2408.7	1.000E+08
2.615E-01	2409.3	1.000E+08
2.516E-01	2409.9	1.000E+08
2.421E-01	2410.6	1.000E+08
2.330E-01	2411.2	1.000E+08
2.242E-01	2411.8	1.000E+08
2.158E-01	2412.3	1.000E+08
2.076E-01	2412.9	1.000E+08
1.998E-01	2413.4	1.000E+08
1.923E-01	2413.8	1.000E+08
1.850E-01	2414.2	1.000E+08
1.780E-01	2414.5	1.000E+08
1.713E-01	2414.7	1.000E+08
1.648E-01	2414.8	1.000E+08
1.586E-01	2414.6	1.000E+08
1.526E-01	2414.3	1.000E+08
1.469E-01	2413.6	1.000E+08
1.413E-01	2412.6	1.000E+08
1.360E-01	2411.2	1.000E+08
1.309E-01	2409.3	1.000E+08
1.259E-01	2406.8	1.000E+08
1.212E-01	2403.5	1.000E+08
1.166E-01	2399.4	1.000E+08
1.122E-01	2394.4	1.000E+08
1.080E-01	2387.7	1.000E+08
1.039E-01	2383.7	1.000E+08
1.000E-01	2385.5	1.000E+08
