#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.536E+01	1757.8	1.000E+08
1.498E+01	2309.5	1.000E+08
1.425E+01	2315.6	1.000E+08
1.355E+01	2331.6	1.000E+08
1.289E+01	2348.4	1.000E+08
1.226E+01	2361.3	1.000E+08
1.166E+01	2372.2	1.000E+08
1.109E+01	2381.6	1.000E+08
1.055E+01	2389.8	1.000E+08
1.003E+01	2397.2	1.000E+08
9.544E+00	2403.9	1.000E+08
9.077E+00	2410.0	1.000E+08
8.634E+00	2415.7	1.000E+08
8.212E+00	2420.9	1.000E+08
7.811E+00	2425.8	1.000E+08
7.429E+00	2430.5	1.000E+08
7.066E+00	2434.8	1.000E+08
6.721E+00	2438.9	1.000E+08
6.393E+00	2442.9	1.000E+08
6.080E+00	2446.6	1.000E+08
5.783E+00	2450.1	1.000E+08
5.501E+00	2453.3	1.000E+08
5.232E+00	2456.4	1.000E+08
4.976E+00	2459.4	1.000E+08
4.733E+00	2462.2	1.000E+08
4.502E+00	2465.0	1.000E+08
4.282E+00	2467.7	1.000E+08
4.073E+00	2470.2	1.000E+08
3.874E+00	2472.8	1.000E+08
3.684E+00	2475.2	1.000E+08
3.504E+00	2477.6	1.000E+08
3.333E+00	2479.9	1.000E+08
3.170E+00	2482.2	1.000E+08
3.015E+00	2484.4	1.000E+08
2.868E+00	2486.6	1.000E+08
2.728E+00	2488.7	1.000E+08
2.595E+00	2490.8	1.000E+08
2.468E+00	2492.8	1.000E+08
2.347E+00	2494.9	1.000E+08
2.233E+00	2496.8	1.000E+08
2.124E+00	2498.8	1.000E+08
2.020E+00	2500.7	1.000E+08
1.921E+00	2502.6	1.000E+08
1.827E+00	2504.5	1.000E+08
1.738E+00	2506.3	1.000E+08
1.653E+00	2508.1	1.000E+08
1.572E+00	2509.9	1.000E+08
1.495E+00	2511.7	1.000E+08
1.422E+00	2513.4	1.000E+08
1.353E+00	2515.1	1.000E+08
1.287E+00	2516.8	1.000E+08
1.224E+00	2518.5	1.000E+08
1.164E+00	2520.2	1.000E+08
1.107E+00	2521.8	1.000E+08
1.053E+00	2523.4	1.000E+08
1.002E+00	2525.0	1.000E+08
9.528E-01	2526.6	1.000E+08
9.062E-01	2528.2	1.000E+08
8.619E-01	2529.8	1.000E+08
8.198E-01	2531.4	1.000E+08
7.798E-01	2532.9	1.000E+08
7.417E-01	2534.5	1.000E+08
7.054E-01	2536.0	1.000E+08
6.710E-01	2537.5	1.000E+08
6.382E-01	2539.1	1.000E+08
6.070E-01	2540.6	1.000E+08
5.773E-01	2542.1	1.000E+08
5.491E-01	2543.6	1.000E+08
5.223E-01	2545.2	1.000E+08
4.968E-01	2546.7	1.000E+08
4.725E-01	2548.2	1.000E+08
4.494E-01	2549.8	1.000E+08
4.275E-01	2551.3	1.000E+08
4.066E-01	2552.9	1.000E+08
3.867E-01	2554.4	1.000E+08
3.678E-01	2556.1	1.000E+08
3.498E-01	2557.7	1.000E+08
3.328E-01	2559.4	1.000E+08
3.165E-01	2561.1	1.000E+08
3.010E-01	2562.8	1.000E+08
2.863E-01	2564.7	1.000E+08
2.723E-01	2566.6	1.000E+08
2.590E-01	2568.6	1.000E+08
2.464E-01	2570.7	1.000E+08
2.343E-01	2572.9	1.000E+08
2.229E-01	2575.2	1.000E+08
2.120E-01	2577.7	1.000E+08
2.016E-01	2580.2	1.000E+08
1.918E-01	2582.8	1.000E+08
1.824E-01	2585.6	1.000E+08
1.735E-01	2588.3	1.000E+08
1.650E-01	2590.9	1.000E+08
1.570E-01	2593.4	1.000E+08
1.493E-01	2595.6	1.000E+08
1.420E-01	2597.4	1.000E+08
1.351E-01	2598.7	1.000E+08
1.285E-01	2599.3	1.000E+08
1.222E-01	2599.2	1.000E+08
1.162E-01	2598.1	1.000E+08
1.105E-01	2601.6	1.000E+08
1.051E-01	2612.0	1.000E+08
1.000E-01	2630.5	1.000E+08
