#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
4.038E+01	1844.4	1.000E+08
3.919E+01	2374.5	1.000E+08
3.692E+01	2380.8	1.000E+08
3.478E+01	2397.2	1.000E+08
3.276E+01	2414.8	1.000E+08
3.087E+01	2428.4	1.000E+08
2.908E+01	2439.8	1.000E+08
2.739E+01	2449.5	1.000E+08
2.580E+01	2457.8	1.000E+08
2.431E+01	2465.1	1.000E+08
2.290E+01	2471.7	1.000E+08
2.157E+01	2477.8	1.000E+08
2.032E+01	2483.4	1.000E+08
1.914E+01	2488.6	1.000E+08
1.803E+01	2493.5	1.000E+08
1.699E+01	2498.1	1.000E+08
1.600E+01	2502.4	1.000E+08
1.508E+01	2506.6	1.000E+08
1.420E+01	2510.6	1.000E+08
1.338E+01	2514.3	1.000E+08
1.260E+01	2518.0	1.000E+08
1.187E+01	2521.5	1.000E+08
1.118E+01	2524.9	1.000E+08
1.054E+01	2528.1	1.000E+08
9.926E+00	2531.3	1.000E+08
9.350E+00	2534.3	1.000E+08
8.808E+00	2537.3	1.000E+08
8.298E+00	2540.1	1.000E+08
7.817E+00	2542.9	1.000E+08
7.364E+00	2545.7	1.000E+08
6.937E+00	2548.3	1.000E+08
6.535E+00	2550.9	1.000E+08
6.156E+00	2553.4	1.000E+08
5.799E+00	2555.9	1.000E+08
5.463E+00	2558.4	1.000E+08
5.146E+00	2560.7	1.000E+08
4.848E+00	2563.1	1.000E+08
4.567E+00	2565.4	1.000E+08
4.302E+00	2567.6	1.000E+08
4.053E+00	2569.8	1.000E+08
3.818E+00	2572.0	1.000E+08
3.597E+00	2574.2	1.000E+08
3.388E+00	2576.3	1.000E+08
3.192E+00	2578.4	1.000E+08
3.007E+00	2580.4	1.000E+08
2.833E+00	2582.4	1.000E+08
2.668E+00	2584.4	1.000E+08
2.514E+00	2586.4	1.000E+08
2.368E+00	2588.4	1.000E+08
2.231E+00	2590.3	1.000E+08
2.102E+00	2592.2	1.000E+08
1.980E+00	2594.1	1.000E+08
1.865E+00	2596.0	1.000E+08
1.757E+00	2597.8	1.000E+08
1.655E+00	2599.7	1.000E+08
1.559E+00	2601.5	1.000E+08
1.469E+00	2603.3	1.000E+08
1.384E+00	2605.0	1.000E+08
1.303E+00	2606.8	1.000E+08
1.228E+00	2608.7	1.000E+08
1.157E+00	2610.5	1.000E+08
1.090E+00	2612.3	1.000E+08
1.026E+00	2614.2	1.000E+08
9.670E-01	2616.2	1.000E+08
9.109E-01	2618.1	1.000E+08
8.581E-01	2620.2	1.000E+08
8.084E-01	2622.2	1.000E+08
7.615E-01	2624.4	1.000E+08
7.174E-01	2626.6	1.000E+08
6.758E-01	2628.9	1.000E+08
6.366E-01	2631.2	1.000E+08
5.997E-01	2633.5	1.000E+08
5.650E-01	2635.9	1.000E+08
5.322E-01	2638.4	1.000E+08
5.014E-01	2640.8	1.000E+08
4.723E-01	2643.2	1.000E+08
4.449E-01	2645.5	1.000E+08
4.191E-01	2647.8	1.000E+08
3.949E-01	2650.0	1.000E+08
3.720E-01	2652.1	1.000E+08
3.504E-01	2654.0	1.000E+08
3.301E-01	2655.7	1.000E+08
3.110E-01	2657.3	1.000E+08
2.929E-01	2658.6	1.000E+08
2.760E-01	2659.8	1.000E+08
2.600E-01	2660.6	1.000E+08
2.449E-01	2661.3	1.000E+08
2.307E-01	2661.6	1.000E+08
2.173E-01	2661.8	1.000E+08
2.047E-01	2661.7	1.000E+08
1.929E-01	2661.5	1.000E+08
1.817E-01	2661.1	1.000E+08
1.712E-01	2660.7	1.000E+08
1.612E-01	2660.5	1.000E+08
1.519E-01	2660.5	1.000E+08
1.431E-01	2660.9	1.000E+08
1.348E-01	2662.2	1.000E+08
1.270E-01	2665.0	1.000E+08
1.196E-01	2672.1	1.000E+08
1.127E-01	2684.8	1.000E+08
1.062E-01	2704.2	1.000E+08
1.000E-01	2730.9	1.000E+08
