#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
3.996E+00	1653.8	1.000E+08
3.923E+00	2275.7	1.000E+08
3.782E+00	2280.8	1.000E+08
3.646E+00	2294.6	1.000E+08
3.514E+00	2310.4	1.000E+08
3.388E+00	2322.6	1.000E+08
3.266E+00	2332.7	1.000E+08
3.148E+00	2341.4	1.000E+08
3.035E+00	2349.0	1.000E+08
2.925E+00	2355.8	1.000E+08
2.820E+00	2361.9	1.000E+08
2.718E+00	2367.5	1.000E+08
2.620E+00	2372.7	1.000E+08
2.526E+00	2377.5	1.000E+08
2.435E+00	2382.0	1.000E+08
2.347E+00	2386.3	1.000E+08
2.263E+00	2390.3	1.000E+08
2.181E+00	2394.1	1.000E+08
2.102E+00	2397.7	1.000E+08
2.027E+00	2401.2	1.000E+08
1.954E+00	2404.5	1.000E+08
1.883E+00	2407.7	1.000E+08
1.815E+00	2410.8	1.000E+08
1.750E+00	2413.8	1.000E+08
1.687E+00	2416.6	1.000E+08
1.626E+00	2419.4	1.000E+08
1.568E+00	2422.1	1.000E+08
1.511E+00	2424.7	1.000E+08
1.457E+00	2427.3	1.000E+08
1.404E+00	2429.8	1.000E+08
1.354E+00	2432.2	1.000E+08
1.305E+00	2434.6	1.000E+08
1.258E+00	2436.9	1.000E+08
1.213E+00	2439.1	1.000E+08
1.169E+00	2441.3	1.000E+08
1.127E+00	2443.5	1.000E+08
1.086E+00	2445.7	1.000E+08
1.047E+00	2447.7	1.000E+08
1.009E+00	2449.8	1.000E+08
9.729E-01	2451.8	1.000E+08
9.378E-01	2453.7	1.000E+08
9.041E-01	2455.6	1.000E+08
8.715E-01	2457.5	1.000E+08
8.401E-01	2459.3	1.000E+08
8.098E-01	2461.2	1.000E+08
7.806E-01	2463.0	1.000E+08
7.525E-01	2464.8	1.000E+08
7.254E-01	2466.6	1.000E+08
6.993E-01	2468.3	1.000E+08
6.741E-01	2470.1	1.000E+08
6.498E-01	2471.8	1.000E+08
6.264E-01	2473.6	1.000E+08
6.038E-01	2475.3	1.000E+08
5.820E-01	2477.0	1.000E+08
5.611E-01	2478.7	1.000E+08
5.409E-01	2480.4	1.000E+08
5.214E-01	2482.2	1.000E+08
5.026E-01	2483.9	1.000E+08
4.845E-01	2485.6	1.000E+08
4.670E-01	2487.3	1.000E+08
4.502E-01	2489.0	1.000E+08
4.340E-01	2490.7	1.000E+08
4.183E-01	2492.4	1.000E+08
4.033E-01	2494.1	1.000E+08
3.887E-01	2495.8	1.000E+08
3.747E-01	2497.6	1.000E+08
3.612E-01	2499.3	1.000E+08
3.482E-01	2501.1	1.000E+08
3.357E-01	2502.8	1.000E+08
3.236E-01	2504.6	1.000E+08
3.119E-01	2506.5	1.000E+08
3.007E-01	2508.3	1.000E+08
2.898E-01	2510.2	1.000E+08
2.794E-01	2512.1	1.000E+08
2.693E-01	2514.1	1.000E+08
2.596E-01	2516.1	1.000E+08
2.503E-01	2518.1	1.000E+08
2.413E-01	2520.2	1.000E+08
2.326E-01	2522.4	1.000E+08
2.242E-01	2524.7	1.000E+08
2.161E-01	2527.0	1.000E+08
2.083E-01	2529.4	1.000E+08
2.008E-01	2531.9	1.000E+08
1.936E-01	2534.5	1.000E+08
1.866E-01	2537.1	1.000E+08
1.799E-01	2539.9	1.000E+08
1.734E-01	2542.7	1.000E+08
1.672E-01	2545.6	1.000E+08
1.611E-01	2548.5	1.000E+08
1.553E-01	2551.4	1.000E+08
1.497E-01	2554.2	1.000E+08
1.443E-01	2557.0	1.000E+08
1.391E-01	2559.6	1.000E+08
1.341E-01	2562.0	1.000E+08
1.293E-01	2564.1	1.000E+08
1.246E-01	2565.8	1.000E+08
1.201E-01	2567.0	1.000E+08
1.158E-01	2567.5	1.000E+08
1.116E-01	2567.7	1.000E+08
1.076E-01	2573.2	1.000E+08
1.037E-01	2585.7	1.000E+08
1.000E-01	2606.5	1.000E+08
