#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
4.740E-01	1511.1	1.000E+08
4.703E-01	2202.4	1.000E+08
4.631E-01	2198.9	1.000E+08
4.560E-01	2202.5	1.000E+08
4.490E-01	2212.1	1.000E+08
4.421E-01	2224.8	1.000E+08
4.353E-01	2234.8	1.000E+08
4.286E-01	2243.5	1.000E+08
4.220E-01	2251.1	1.000E+08
4.155E-01	2257.8	1.000E+08
4.092E-01	2263.8	1.000E+08
4.029E-01	2269.2	1.000E+08
3.967E-01	2274.2	1.000E+08
3.906E-01	2278.8	1.000E+08
3.846E-01	2283.1	1.000E+08
3.787E-01	2287.1	1.000E+08
3.729E-01	2290.9	1.000E+08
3.671E-01	2294.4	1.000E+08
3.615E-01	2297.8	1.000E+08
3.559E-01	2301.0	1.000E+08
3.505E-01	2304.1	1.000E+08
3.451E-01	2307.0	1.000E+08
3.398E-01	2309.8	1.000E+08
3.346E-01	2312.6	1.000E+08
3.294E-01	2315.2	1.000E+08
3.244E-01	2317.7	1.000E+08
3.194E-01	2320.2	1.000E+08
3.145E-01	2322.6	1.000E+08
3.096E-01	2325.0	1.000E+08
3.049E-01	2327.3	1.000E+08
3.002E-01	2329.5	1.000E+08
2.956E-01	2331.7	1.000E+08
2.910E-01	2333.9	1.000E+08
2.866E-01	2336.0	1.000E+08
2.822E-01	2338.1	1.000E+08
2.778E-01	2340.1	1.000E+08
2.736E-01	2342.2	1.000E+08
2.694E-01	2344.2	1.000E+08
2.652E-01	2346.2	1.000E+08
2.612E-01	2348.1	1.000E+08
2.571E-01	2350.1	1.000E+08
2.532E-01	2352.0	1.000E+08
2.493E-01	2353.9	1.000E+08
2.455E-01	2355.9	1.000E+08
2.417E-01	2357.8	1.000E+08
2.380E-01	2359.7	1.000E+08
2.343E-01	2361.6	1.000E+08
2.307E-01	2363.4	1.000E+08
2.272E-01	2365.3	1.000E+08
2.237E-01	2367.2	1.000E+08
2.203E-01	2369.1	1.000E+08
2.169E-01	2370.9	1.000E+08
2.135E-01	2372.8	1.000E+08
2.103E-01	2374.7	1.000E+08
2.070E-01	2376.5	1.000E+08
2.038E-01	2378.4	1.000E+08
2.007E-01	2380.2	1.000E+08
1.976E-01	2382.1	1.000E+08
1.946E-01	2383.9	1.000E+08
1.916E-01	2385.8	1.000E+08
1.887E-01	2387.6	1.000E+08
1.858E-01	2389.5	1.000E+08
1.829E-01	2391.3	1.000E+08
1.801E-01	2393.1	1.000E+08
1.773E-01	2394.9	1.000E+08
1.746E-01	2396.7	1.000E+08
1.719E-01	2398.5	1.000E+08
1.693E-01	2400.2	1.000E+08
1.667E-01	2401.9	1.000E+08
1.641E-01	2403.6	1.000E+08
1.616E-01	2405.3	1.000E+08
1.591E-01	2406.9	1.000E+08
1.567E-01	2408.5	1.000E+08
1.543E-01	2410.1	1.000E+08
1.519E-01	2411.6	1.000E+08
1.496E-01	2413.1	1.000E+08
1.473E-01	2414.4	1.000E+08
1.450E-01	2415.8	1.000E+08
1.428E-01	2417.1	1.000E+08
1.406E-01	2418.3	1.000E+08
1.384E-01	2419.4	1.000E+08
1.363E-01	2420.4	1.000E+08
1.342E-01	2421.4	1.000E+08
1.321E-01	2422.2	1.000E+08
1.301E-01	2423.0	1.000E+08
1.281E-01	2423.6	1.000E+08
1.261E-01	2424.1	1.000E+08
1.242E-01	2424.5	1.000E+08
1.223E-01	2424.7	1.000E+08
1.204E-01	2424.8	1.000E+08
1.186E-01	2424.8	1.000E+08
1.167E-01	2424.5	1.000E+08
1.150E-01	2424.1	1.000E+08
1.132E-01	2423.5	1.000E+08
1.114E-01	2422.7	1.000E+08
1.097E-01	2421.8	1.000E+08
1.080E-01	2422.4	1.000E+08
1.064E-01	2427.3	1.000E+08
1.048E-01	2437.9	1.000E+08
1.031E-01	2455.0	1.000E+08
1.016E-01	2479.3	1.000E+08
1.000E-01	2511.2	1.000E+08
