#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
9.933E+04	2926.1	1.000E+08
9.274E+04	2924.0	1.000E+08
8.083E+04	2921.6	1.000E+08
7.045E+04	2918.8	1.000E+08
6.141E+04	2915.6	1.000E+08
5.352E+04	2912.2	1.000E+08
4.665E+04	2908.7	1.000E+08
4.066E+04	2904.9	1.000E+08
3.544E+04	2901.0	1.000E+08
3.089E+04	2897.1	1.000E+08
2.693E+04	2893.0	1.000E+08
2.347E+04	2888.7	1.000E+08
2.046E+04	2884.2	1.000E+08
1.783E+04	2879.5	1.000E+08
1.554E+04	2874.4	1.000E+08
1.355E+04	2869.0	1.000E+08
1.181E+04	2863.2	1.000E+08
1.029E+04	2857.1	1.000E+08
8.970E+03	2850.5	1.000E+08
7.819E+03	2843.3	1.000E+08
6.815E+03	2835.6	1.000E+08
5.940E+03	2827.3	1.000E+08
5.178E+03	2818.7	1.000E+08
4.513E+03	2809.7	1.000E+08
3.933E+03	2800.3	1.000E+08
3.429E+03	2790.7	1.000E+08
2.988E+03	2780.9	1.000E+08
2.605E+03	2771.1	1.000E+08
2.270E+03	2761.5	1.000E+08
1.979E+03	2752.3	1.000E+08
1.725E+03	2743.2	1.000E+08
1.503E+03	2734.4	1.000E+08
1.310E+03	2726.4	1.000E+08
1.142E+03	2719.7	1.000E+08
9.955E+02	2715.3	1.000E+08
8.677E+02	2713.8	1.000E+08
7.563E+02	2716.7	1.000E+08
6.592E+02	2726.1	1.000E+08
5.746E+02	2746.4	1.000E+08
5.008E+02	2781.7	1.000E+08
4.365E+02	2832.6	1.000E+08
3.805E+02	2895.7	1.000E+08
3.316E+02	2945.8	1.000E+08
2.891E+02	2984.7	1.000E+08
2.520E+02	3024.2	1.000E+08
2.196E+02	3058.7	1.000E+08
1.914E+02	3085.4	1.000E+08
1.668E+02	3107.1	1.000E+08
1.454E+02	3124.6	1.000E+08
1.268E+02	3139.0	1.000E+08
1.105E+02	3150.7	1.000E+08
9.630E+01	3160.4	1.000E+08
8.394E+01	3168.6	1.000E+08
7.316E+01	3176.4	1.000E+08
6.377E+01	3184.7	1.000E+08
5.558E+01	3194.4	1.000E+08
4.845E+01	3206.7	1.000E+08
4.223E+01	3222.3	1.000E+08
3.681E+01	3242.3	1.000E+08
3.208E+01	3267.5	1.000E+08
2.796E+01	3298.4	1.000E+08
2.437E+01	3331.6	1.000E+08
2.124E+01	3365.5	1.000E+08
1.852E+01	3397.6	1.000E+08
1.614E+01	3427.0	1.000E+08
1.407E+01	3454.6	1.000E+08
1.226E+01	3479.8	1.000E+08
1.069E+01	3502.5	1.000E+08
9.315E+00	3522.0	1.000E+08
8.119E+00	3539.2	1.000E+08
7.077E+00	3554.4	1.000E+08
6.168E+00	3567.9	1.000E+08
5.377E+00	3579.9	1.000E+08
4.686E+00	3590.2	1.000E+08
4.085E+00	3599.6	1.000E+08
3.560E+00	3608.0	1.000E+08
3.103E+00	3615.4	1.000E+08
2.705E+00	3622.1	1.000E+08
2.358E+00	3627.9	1.000E+08
2.055E+00	3633.1	1.000E+08
1.791E+00	3637.6	1.000E+08
1.561E+00	3641.2	1.000E+08
1.361E+00	3643.8	1.000E+08
1.186E+00	3645.4	1.000E+08
1.034E+00	3645.9	1.000E+08
9.011E-01	3645.9	1.000E+08
7.854E-01	3645.5	1.000E+08
6.846E-01	3644.9	1.000E+08
5.967E-01	3644.4	1.000E+08
5.201E-01	3644.1	1.000E+08
4.533E-01	3644.1	1.000E+08
3.951E-01	3644.3	1.000E+08
3.444E-01	3644.6	1.000E+08
3.002E-01	3644.7	1.000E+08
2.616E-01	3644.3	1.000E+08
2.281E-01	3643.5	1.000E+08
1.988E-01	3642.7	1.000E+08
1.733E-01	3642.7	1.000E+08
1.510E-01	3645.1	1.000E+08
1.316E-01	3649.9	1.000E+08
1.147E-01	3650.1	1.000E+08
1.000E-01	3646.4	1.000E+08
