#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
6.908E+05	3385.1	1.000E+08
6.387E+05	3385.1	1.000E+08
5.461E+05	3385.1	1.000E+08
4.669E+05	3385.1	1.000E+08
3.992E+05	3385.1	1.000E+08
3.413E+05	3385.0	1.000E+08
2.918E+05	3385.0	1.000E+08
2.495E+05	3385.0	1.000E+08
2.133E+05	3384.9	1.000E+08
1.823E+05	3384.9	1.000E+08
1.559E+05	3384.8	1.000E+08
1.333E+05	3384.7	1.000E+08
1.140E+05	3384.5	1.000E+08
9.743E+04	3384.2	1.000E+08
8.330E+04	3383.8	1.000E+08
7.122E+04	3383.3	1.000E+08
6.089E+04	3382.6	1.000E+08
5.206E+04	3381.7	1.000E+08
4.451E+04	3380.7	1.000E+08
3.805E+04	3379.6	1.000E+08
3.253E+04	3378.5	1.000E+08
2.781E+04	3377.3	1.000E+08
2.378E+04	3376.3	1.000E+08
2.033E+04	3375.4	1.000E+08
1.738E+04	3374.5	1.000E+08
1.486E+04	3373.4	1.000E+08
1.271E+04	3371.7	1.000E+08
1.086E+04	3369.0	1.000E+08
9.287E+03	3365.1	1.000E+08
7.940E+03	3359.8	1.000E+08
6.789E+03	3353.0	1.000E+08
5.804E+03	3344.9	1.000E+08
4.962E+03	3336.0	1.000E+08
4.242E+03	3326.8	1.000E+08
3.627E+03	3317.3	1.000E+08
3.101E+03	3308.6	1.000E+08
2.651E+03	3301.9	1.000E+08
2.267E+03	3299.1	1.000E+08
1.938E+03	3300.9	1.000E+08
1.657E+03	3309.0	1.000E+08
1.417E+03	3326.6	1.000E+08
1.211E+03	3356.1	1.000E+08
1.035E+03	3396.4	1.000E+08
8.853E+02	3439.4	1.000E+08
7.569E+02	3480.2	1.000E+08
6.471E+02	3515.5	1.000E+08
5.533E+02	3542.6	1.000E+08
4.730E+02	3562.0	1.000E+08
4.044E+02	3574.5	1.000E+08
3.458E+02	3582.7	1.000E+08
2.956E+02	3588.2	1.000E+08
2.527E+02	3592.9	1.000E+08
2.161E+02	3599.4	1.000E+08
1.847E+02	3609.3	1.000E+08
1.579E+02	3628.3	1.000E+08
1.350E+02	3660.0	1.000E+08
1.155E+02	3703.8	1.000E+08
9.871E+01	3751.9	1.000E+08
8.439E+01	3794.8	1.000E+08
7.215E+01	3830.4	1.000E+08
6.169E+01	3860.0	1.000E+08
5.274E+01	3884.1	1.000E+08
4.509E+01	3903.5	1.000E+08
3.855E+01	3921.3	1.000E+08
3.296E+01	3937.2	1.000E+08
2.818E+01	3950.8	1.000E+08
2.409E+01	3962.2	1.000E+08
2.060E+01	3972.1	1.000E+08
1.761E+01	3982.3	1.000E+08
1.506E+01	3991.4	1.000E+08
1.287E+01	3999.5	1.000E+08
1.101E+01	4008.0	1.000E+08
9.409E+00	4017.6	1.000E+08
8.044E+00	4029.0	1.000E+08
6.878E+00	4040.3	1.000E+08
5.880E+00	4051.1	1.000E+08
5.027E+00	4060.9	1.000E+08
4.298E+00	4070.3	1.000E+08
3.675E+00	4079.1	1.000E+08
3.142E+00	4086.2	1.000E+08
2.686E+00	4091.7	1.000E+08
2.296E+00	4095.6	1.000E+08
1.963E+00	4098.7	1.000E+08
1.679E+00	4101.1	1.000E+08
1.435E+00	4102.5	1.000E+08
1.227E+00	4103.2	1.000E+08
1.049E+00	4103.0	1.000E+08
8.969E-01	4102.1	1.000E+08
7.668E-01	4100.3	1.000E+08
6.556E-01	4098.0	1.000E+08
5.605E-01	4095.3	1.000E+08
4.792E-01	4092.6	1.000E+08
4.097E-01	4090.0	1.000E+08
3.503E-01	4087.6	1.000E+08
2.995E-01	4085.2	1.000E+08
2.560E-01	4082.4	1.000E+08
2.189E-01	4078.9	1.000E+08
1.872E-01	4073.5	1.000E+08
1.600E-01	4074.2	1.000E+08
1.368E-01	4086.2	1.000E+08
1.170E-01	4111.2	1.000E+08
1.000E-01	4150.6	1.000E+08
