#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
2.113E+02	2314.3	1.000E+08
2.034E+02	2277.1	1.000E+08
1.885E+02	2273.8	1.000E+08
1.747E+02	2264.9	1.000E+08
1.618E+02	2258.2	1.000E+08
1.500E+02	2252.2	1.000E+08
1.390E+02	2246.9	1.000E+08
1.288E+02	2242.2	1.000E+08
1.193E+02	2237.9	1.000E+08
1.106E+02	2234.0	1.000E+08
1.025E+02	2230.5	1.000E+08
9.496E+01	2227.4	1.000E+08
8.799E+01	2224.6	1.000E+08
8.154E+01	2222.0	1.000E+08
7.556E+01	2219.8	1.000E+08
7.001E+01	2217.8	1.000E+08
6.488E+01	2216.0	1.000E+08
6.012E+01	2214.4	1.000E+08
5.571E+01	2212.9	1.000E+08
5.162E+01	2211.6	1.000E+08
4.784E+01	2210.5	1.000E+08
4.433E+01	2209.4	1.000E+08
4.108E+01	2208.4	1.000E+08
3.806E+01	2207.4	1.000E+08
3.527E+01	2206.4	1.000E+08
3.269E+01	2205.5	1.000E+08
3.029E+01	2204.5	1.000E+08
2.807E+01	2203.5	1.000E+08
2.601E+01	2202.4	1.000E+08
2.410E+01	2201.4	1.000E+08
2.233E+01	2200.3	1.000E+08
2.069E+01	2199.2	1.000E+08
1.918E+01	2198.2	1.000E+08
1.777E+01	2197.1	1.000E+08
1.647E+01	2196.2	1.000E+08
1.526E+01	2195.3	1.000E+08
1.414E+01	2194.6	1.000E+08
1.310E+01	2194.0	1.000E+08
1.214E+01	2193.4	1.000E+08
1.125E+01	2192.8	1.000E+08
1.043E+01	2192.3	1.000E+08
9.661E+00	2191.6	1.000E+08
8.952E+00	2190.9	1.000E+08
8.296E+00	2190.3	1.000E+08
7.687E+00	2190.3	1.000E+08
7.123E+00	2191.3	1.000E+08
6.601E+00	2194.5	1.000E+08
6.117E+00	2204.8	1.000E+08
5.668E+00	2224.8	1.000E+08
5.252E+00	2255.6	1.000E+08
4.867E+00	2297.5	1.000E+08
4.510E+00	2349.3	1.000E+08
4.179E+00	2408.2	1.000E+08
3.873E+00	2459.8	1.000E+08
3.589E+00	2511.3	1.000E+08
3.325E+00	2557.9	1.000E+08
3.081E+00	2597.7	1.000E+08
2.855E+00	2629.7	1.000E+08
2.646E+00	2654.9	1.000E+08
2.452E+00	2676.6	1.000E+08
2.272E+00	2701.2	1.000E+08
2.105E+00	2731.8	1.000E+08
1.951E+00	2769.9	1.000E+08
1.808E+00	2816.2	1.000E+08
1.675E+00	2870.9	1.000E+08
1.552E+00	2929.7	1.000E+08
1.439E+00	2980.3	1.000E+08
1.333E+00	3022.0	1.000E+08
1.235E+00	3055.2	1.000E+08
1.145E+00	3080.7	1.000E+08
1.061E+00	3100.5	1.000E+08
9.829E-01	3116.7	1.000E+08
9.108E-01	3130.7	1.000E+08
8.440E-01	3143.2	1.000E+08
7.821E-01	3154.2	1.000E+08
7.247E-01	3163.9	1.000E+08
6.716E-01	3172.8	1.000E+08
6.223E-01	3181.0	1.000E+08
5.767E-01	3188.6	1.000E+08
5.344E-01	3195.8	1.000E+08
4.952E-01	3202.4	1.000E+08
4.589E-01	3208.6	1.000E+08
4.252E-01	3214.5	1.000E+08
3.940E-01	3220.3	1.000E+08
3.651E-01	3226.0	1.000E+08
3.383E-01	3231.5	1.000E+08
3.135E-01	3237.0	1.000E+08
2.905E-01	3242.3	1.000E+08
2.692E-01	3247.4	1.000E+08
2.495E-01	3252.4	1.000E+08
2.312E-01	3257.2	1.000E+08
2.142E-01	3261.7	1.000E+08
1.985E-01	3266.0	1.000E+08
1.839E-01	3269.9	1.000E+08
1.704E-01	3273.7	1.000E+08
1.579E-01	3277.3	1.000E+08
1.464E-01	3280.6	1.000E+08
1.356E-01	3287.0	1.000E+08
1.257E-01	3301.0	1.000E+08
1.165E-01	3324.1	1.000E+08
1.079E-01	3357.5	1.000E+08
1.000E-01	3402.0	1.000E+08
