#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
9.898E+03	2802.8	1.000E+08
9.347E+03	2789.7	1.000E+08
8.337E+03	2778.4	1.000E+08
7.435E+03	2766.7	1.000E+08
6.631E+03	2755.2	1.000E+08
5.914E+03	2744.1	1.000E+08
5.274E+03	2733.2	1.000E+08
4.704E+03	2722.7	1.000E+08
4.195E+03	2712.3	1.000E+08
3.741E+03	2702.2	1.000E+08
3.337E+03	2692.2	1.000E+08
2.976E+03	2682.5	1.000E+08
2.654E+03	2672.9	1.000E+08
2.367E+03	2663.7	1.000E+08
2.111E+03	2654.7	1.000E+08
1.883E+03	2645.8	1.000E+08
1.679E+03	2636.9	1.000E+08
1.498E+03	2628.1	1.000E+08
1.336E+03	2619.3	1.000E+08
1.191E+03	2610.4	1.000E+08
1.062E+03	2601.6	1.000E+08
9.474E+02	2592.9	1.000E+08
8.450E+02	2584.0	1.000E+08
7.536E+02	2575.0	1.000E+08
6.721E+02	2565.9	1.000E+08
5.994E+02	2556.8	1.000E+08
5.346E+02	2547.8	1.000E+08
4.768E+02	2539.0	1.000E+08
4.252E+02	2530.4	1.000E+08
3.792E+02	2521.9	1.000E+08
3.382E+02	2513.5	1.000E+08
3.016E+02	2505.3	1.000E+08
2.690E+02	2497.4	1.000E+08
2.399E+02	2489.9	1.000E+08
2.140E+02	2482.8	1.000E+08
1.908E+02	2476.2	1.000E+08
1.702E+02	2469.8	1.000E+08
1.518E+02	2463.9	1.000E+08
1.354E+02	2458.7	1.000E+08
1.207E+02	2454.1	1.000E+08
1.077E+02	2450.3	1.000E+08
9.603E+01	2447.4	1.000E+08
8.565E+01	2445.2	1.000E+08
7.638E+01	2443.8	1.000E+08
6.812E+01	2443.1	1.000E+08
6.076E+01	2443.1	1.000E+08
5.419E+01	2443.7	1.000E+08
4.833E+01	2445.0	1.000E+08
4.310E+01	2446.9	1.000E+08
3.844E+01	2449.2	1.000E+08
3.428E+01	2452.2	1.000E+08
3.057E+01	2456.2	1.000E+08
2.727E+01	2461.7	1.000E+08
2.432E+01	2469.5	1.000E+08
2.169E+01	2480.5	1.000E+08
1.934E+01	2493.8	1.000E+08
1.725E+01	2511.3	1.000E+08
1.539E+01	2538.2	1.000E+08
1.372E+01	2576.0	1.000E+08
1.224E+01	2621.2	1.000E+08
1.091E+01	2656.0	1.000E+08
9.734E+00	2680.5	1.000E+08
8.681E+00	2696.7	1.000E+08
7.742E+00	2709.7	1.000E+08
6.905E+00	2721.0	1.000E+08
6.158E+00	2730.9	1.000E+08
5.492E+00	2739.4	1.000E+08
4.898E+00	2746.8	1.000E+08
4.368E+00	2752.4	1.000E+08
3.896E+00	2756.8	1.000E+08
3.475E+00	2761.2	1.000E+08
3.099E+00	2765.6	1.000E+08
2.764E+00	2770.2	1.000E+08
2.465E+00	2775.5	1.000E+08
2.198E+00	2781.3	1.000E+08
1.961E+00	2792.3	1.000E+08
1.749E+00	2811.9	1.000E+08
1.559E+00	2841.4	1.000E+08
1.391E+00	2881.4	1.000E+08
1.240E+00	2931.8	1.000E+08
1.106E+00	2991.3	1.000E+08
9.866E-01	3042.8	1.000E+08
8.799E-01	3085.1	1.000E+08
7.847E-01	3118.7	1.000E+08
6.999E-01	3144.4	1.000E+08
6.242E-01	3163.4	1.000E+08
5.567E-01	3177.7	1.000E+08
4.965E-01	3189.6	1.000E+08
4.428E-01	3199.4	1.000E+08
3.949E-01	3207.2	1.000E+08
3.522E-01	3213.7	1.000E+08
3.141E-01	3219.4	1.000E+08
2.801E-01	3224.6	1.000E+08
2.498E-01	3229.7	1.000E+08
2.228E-01	3235.0	1.000E+08
1.987E-01	3241.3	1.000E+08
1.772E-01	3249.9	1.000E+08
1.581E-01	3264.3	1.000E+08
1.410E-01	3286.4	1.000E+08
1.257E-01	3317.1	1.000E+08
1.121E-01	3357.5	1.000E+08
1.000E-01	3407.9	1.000E+08
