#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.339E+05	3129.3	1.000E+08
1.248E+05	3129.3	1.000E+08
1.085E+05	3129.2	1.000E+08
9.427E+04	3129.1	1.000E+08
8.192E+04	3128.9	1.000E+08
7.119E+04	3128.7	1.000E+08
6.187E+04	3128.2	1.000E+08
5.377E+04	3127.7	1.000E+08
4.673E+04	3126.8	1.000E+08
4.061E+04	3125.7	1.000E+08
3.529E+04	3124.4	1.000E+08
3.067E+04	3122.7	1.000E+08
2.665E+04	3120.8	1.000E+08
2.316E+04	3118.7	1.000E+08
2.013E+04	3116.3	1.000E+08
1.749E+04	3113.9	1.000E+08
1.520E+04	3111.3	1.000E+08
1.321E+04	3108.6	1.000E+08
1.148E+04	3106.0	1.000E+08
9.976E+03	3103.3	1.000E+08
8.670E+03	3100.7	1.000E+08
7.534E+03	3098.0	1.000E+08
6.548E+03	3095.0	1.000E+08
5.690E+03	3091.7	1.000E+08
4.945E+03	3087.8	1.000E+08
4.297E+03	3083.3	1.000E+08
3.734E+03	3077.9	1.000E+08
3.245E+03	3071.5	1.000E+08
2.820E+03	3064.2	1.000E+08
2.451E+03	3056.0	1.000E+08
2.130E+03	3047.2	1.000E+08
1.851E+03	3037.7	1.000E+08
1.609E+03	3027.5	1.000E+08
1.398E+03	3016.7	1.000E+08
1.215E+03	3005.6	1.000E+08
1.056E+03	2994.6	1.000E+08
9.175E+02	2983.8	1.000E+08
7.973E+02	2972.9	1.000E+08
6.929E+02	2962.3	1.000E+08
6.022E+02	2952.4	1.000E+08
5.233E+02	2943.7	1.000E+08
4.548E+02	2936.4	1.000E+08
3.952E+02	2930.4	1.000E+08
3.434E+02	2925.9	1.000E+08
2.985E+02	2923.2	1.000E+08
2.594E+02	2922.6	1.000E+08
2.254E+02	2924.5	1.000E+08
1.959E+02	2927.7	1.000E+08
1.702E+02	2931.7	1.000E+08
1.479E+02	2937.1	1.000E+08
1.286E+02	2943.8	1.000E+08
1.117E+02	2951.3	1.000E+08
9.709E+01	2958.7	1.000E+08
8.438E+01	2964.0	1.000E+08
7.333E+01	2968.9	1.000E+08
6.372E+01	2973.4	1.000E+08
5.538E+01	2977.7	1.000E+08
4.813E+01	2982.3	1.000E+08
4.182E+01	2985.1	1.000E+08
3.635E+01	2986.9	1.000E+08
3.159E+01	2988.6	1.000E+08
2.745E+01	2990.0	1.000E+08
2.385E+01	2991.3	1.000E+08
2.073E+01	2991.9	1.000E+08
1.801E+01	2991.3	1.000E+08
1.566E+01	2990.6	1.000E+08
1.361E+01	2989.8	1.000E+08
1.182E+01	2989.0	1.000E+08
1.027E+01	2988.2	1.000E+08
8.929E+00	2987.1	1.000E+08
7.760E+00	2985.9	1.000E+08
6.744E+00	2984.9	1.000E+08
5.860E+00	2984.1	1.000E+08
5.093E+00	2983.3	1.000E+08
4.426E+00	2982.6	1.000E+08
3.846E+00	2981.8	1.000E+08
3.343E+00	2981.2	1.000E+08
2.905E+00	2980.8	1.000E+08
2.524E+00	2980.6	1.000E+08
2.194E+00	2981.0	1.000E+08
1.906E+00	2982.3	1.000E+08
1.657E+00	2984.8	1.000E+08
1.440E+00	2988.9	1.000E+08
1.251E+00	2994.8	1.000E+08
1.087E+00	3002.5	1.000E+08
9.449E-01	3010.8	1.000E+08
8.212E-01	3019.3	1.000E+08
7.136E-01	3028.0	1.000E+08
6.202E-01	3036.4	1.000E+08
5.390E-01	3044.3	1.000E+08
4.684E-01	3051.2	1.000E+08
4.070E-01	3056.8	1.000E+08
3.537E-01	3061.2	1.000E+08
3.074E-01	3064.2	1.000E+08
2.671E-01	3066.1	1.000E+08
2.322E-01	3067.0	1.000E+08
2.018E-01	3067.0	1.000E+08
1.753E-01	3067.8	1.000E+08
1.524E-01	3074.6	1.000E+08
1.324E-01	3088.8	1.000E+08
1.151E-01	3111.6	1.000E+08
1.000E-01	3143.6	1.000E+08
