#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.427E+05	3134.2	1.000E+08
1.330E+05	3134.2	1.000E+08
1.155E+05	3134.2	1.000E+08
1.003E+05	3134.1	1.000E+08
8.711E+04	3134.0	1.000E+08
7.566E+04	3133.9	1.000E+08
6.571E+04	3133.6	1.000E+08
5.707E+04	3133.0	1.000E+08
4.956E+04	3132.2	1.000E+08
4.304E+04	3131.1	1.000E+08
3.738E+04	3129.6	1.000E+08
3.247E+04	3127.6	1.000E+08
2.820E+04	3125.3	1.000E+08
2.449E+04	3122.5	1.000E+08
2.127E+04	3119.3	1.000E+08
1.847E+04	3115.8	1.000E+08
1.604E+04	3112.0	1.000E+08
1.393E+04	3107.9	1.000E+08
1.210E+04	3103.8	1.000E+08
1.051E+04	3099.6	1.000E+08
9.126E+03	3095.6	1.000E+08
7.926E+03	3091.4	1.000E+08
6.883E+03	3087.2	1.000E+08
5.978E+03	3082.9	1.000E+08
5.192E+03	3078.2	1.000E+08
4.509E+03	3073.2	1.000E+08
3.916E+03	3067.6	1.000E+08
3.401E+03	3061.2	1.000E+08
2.954E+03	3053.9	1.000E+08
2.565E+03	3046.1	1.000E+08
2.228E+03	3037.7	1.000E+08
1.935E+03	3028.8	1.000E+08
1.680E+03	3019.3	1.000E+08
1.459E+03	3009.4	1.000E+08
1.268E+03	2999.6	1.000E+08
1.101E+03	2990.5	1.000E+08
9.560E+02	2982.2	1.000E+08
8.303E+02	2974.7	1.000E+08
7.211E+02	2968.7	1.000E+08
6.263E+02	2965.6	1.000E+08
5.439E+02	2966.4	1.000E+08
4.724E+02	2972.1	1.000E+08
4.102E+02	2981.4	1.000E+08
3.563E+02	2994.4	1.000E+08
3.094E+02	3014.0	1.000E+08
2.687E+02	3040.8	1.000E+08
2.334E+02	3071.8	1.000E+08
2.027E+02	3102.8	1.000E+08
1.760E+02	3130.4	1.000E+08
1.529E+02	3155.2	1.000E+08
1.328E+02	3175.7	1.000E+08
1.153E+02	3192.8	1.000E+08
1.002E+02	3206.6	1.000E+08
8.698E+01	3215.8	1.000E+08
7.554E+01	3223.2	1.000E+08
6.561E+01	3229.3	1.000E+08
5.698E+01	3234.8	1.000E+08
4.949E+01	3240.3	1.000E+08
4.298E+01	3246.1	1.000E+08
3.732E+01	3253.2	1.000E+08
3.242E+01	3265.5	1.000E+08
2.815E+01	3289.2	1.000E+08
2.445E+01	3325.9	1.000E+08
2.123E+01	3375.8	1.000E+08
1.844E+01	3435.6	1.000E+08
1.602E+01	3487.8	1.000E+08
1.391E+01	3530.4	1.000E+08
1.208E+01	3563.8	1.000E+08
1.049E+01	3589.8	1.000E+08
9.112E+00	3610.1	1.000E+08
7.914E+00	3626.4	1.000E+08
6.873E+00	3639.9	1.000E+08
5.969E+00	3651.0	1.000E+08
5.184E+00	3660.4	1.000E+08
4.502E+00	3668.7	1.000E+08
3.910E+00	3676.7	1.000E+08
3.396E+00	3684.0	1.000E+08
2.949E+00	3690.5	1.000E+08
2.561E+00	3696.2	1.000E+08
2.225E+00	3700.8	1.000E+08
1.932E+00	3704.6	1.000E+08
1.678E+00	3707.4	1.000E+08
1.457E+00	3708.8	1.000E+08
1.266E+00	3708.9	1.000E+08
1.099E+00	3708.0	1.000E+08
9.546E-01	3706.4	1.000E+08
8.290E-01	3704.8	1.000E+08
7.200E-01	3703.1	1.000E+08
6.253E-01	3701.5	1.000E+08
5.431E-01	3700.2	1.000E+08
4.716E-01	3699.1	1.000E+08
4.096E-01	3698.2	1.000E+08
3.557E-01	3697.2	1.000E+08
3.090E-01	3695.9	1.000E+08
2.683E-01	3694.1	1.000E+08
2.330E-01	3691.7	1.000E+08
2.024E-01	3688.2	1.000E+08
1.758E-01	3687.9	1.000E+08
1.527E-01	3696.5	1.000E+08
1.326E-01	3715.9	1.000E+08
1.151E-01	3747.3	1.000E+08
1.000E-01	3791.5	1.000E+08
