#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
3.891E+04	2966.1	1.000E+08
3.650E+04	2963.3	1.000E+08
3.211E+04	2959.8	1.000E+08
2.825E+04	2955.3	1.000E+08
2.485E+04	2949.7	1.000E+08
2.187E+04	2943.1	1.000E+08
1.924E+04	2935.3	1.000E+08
1.692E+04	2926.3	1.000E+08
1.489E+04	2916.2	1.000E+08
1.310E+04	2905.4	1.000E+08
1.153E+04	2894.3	1.000E+08
1.014E+04	2882.9	1.000E+08
8.921E+03	2871.4	1.000E+08
7.848E+03	2859.8	1.000E+08
6.905E+03	2848.4	1.000E+08
6.075E+03	2837.3	1.000E+08
5.345E+03	2826.8	1.000E+08
4.702E+03	2817.0	1.000E+08
4.137E+03	2807.8	1.000E+08
3.640E+03	2799.2	1.000E+08
3.202E+03	2791.2	1.000E+08
2.817E+03	2783.6	1.000E+08
2.478E+03	2776.6	1.000E+08
2.180E+03	2770.0	1.000E+08
1.918E+03	2763.7	1.000E+08
1.688E+03	2757.4	1.000E+08
1.485E+03	2751.0	1.000E+08
1.306E+03	2744.5	1.000E+08
1.149E+03	2738.0	1.000E+08
1.011E+03	2731.4	1.000E+08
8.896E+02	2724.7	1.000E+08
7.827E+02	2717.8	1.000E+08
6.886E+02	2710.9	1.000E+08
6.058E+02	2704.0	1.000E+08
5.330E+02	2697.2	1.000E+08
4.689E+02	2690.8	1.000E+08
4.125E+02	2684.5	1.000E+08
3.629E+02	2678.3	1.000E+08
3.193E+02	2672.4	1.000E+08
2.809E+02	2667.0	1.000E+08
2.472E+02	2662.6	1.000E+08
2.174E+02	2659.8	1.000E+08
1.913E+02	2658.5	1.000E+08
1.683E+02	2659.4	1.000E+08
1.481E+02	2662.9	1.000E+08
1.303E+02	2670.1	1.000E+08
1.146E+02	2682.3	1.000E+08
1.008E+02	2701.4	1.000E+08
8.871E+01	2726.2	1.000E+08
7.805E+01	2757.7	1.000E+08
6.867E+01	2792.6	1.000E+08
6.041E+01	2827.7	1.000E+08
5.315E+01	2861.2	1.000E+08
4.676E+01	2891.6	1.000E+08
4.114E+01	2912.8	1.000E+08
3.619E+01	2927.7	1.000E+08
3.184E+01	2940.3	1.000E+08
2.801E+01	2950.7	1.000E+08
2.465E+01	2959.3	1.000E+08
2.168E+01	2966.4	1.000E+08
1.908E+01	2971.2	1.000E+08
1.678E+01	2974.9	1.000E+08
1.477E+01	2977.7	1.000E+08
1.299E+01	2979.7	1.000E+08
1.143E+01	2981.1	1.000E+08
1.006E+01	2982.0	1.000E+08
8.847E+00	2982.4	1.000E+08
7.783E+00	2982.8	1.000E+08
6.848E+00	2983.5	1.000E+08
6.024E+00	2984.7	1.000E+08
5.300E+00	2986.7	1.000E+08
4.663E+00	2989.8	1.000E+08
4.103E+00	2994.2	1.000E+08
3.609E+00	3000.4	1.000E+08
3.175E+00	3011.5	1.000E+08
2.794E+00	3031.3	1.000E+08
2.458E+00	3060.8	1.000E+08
2.162E+00	3099.8	1.000E+08
1.902E+00	3146.3	1.000E+08
1.674E+00	3185.4	1.000E+08
1.473E+00	3216.9	1.000E+08
1.296E+00	3241.7	1.000E+08
1.140E+00	3261.3	1.000E+08
1.003E+00	3277.4	1.000E+08
8.822E-01	3292.0	1.000E+08
7.762E-01	3306.0	1.000E+08
6.829E-01	3319.4	1.000E+08
6.008E-01	3332.1	1.000E+08
5.286E-01	3343.9	1.000E+08
4.650E-01	3354.5	1.000E+08
4.091E-01	3363.7	1.000E+08
3.599E-01	3371.5	1.000E+08
3.167E-01	3377.9	1.000E+08
2.786E-01	3383.1	1.000E+08
2.451E-01	3387.2	1.000E+08
2.156E-01	3390.8	1.000E+08
1.897E-01	3394.5	1.000E+08
1.669E-01	3399.7	1.000E+08
1.468E-01	3410.2	1.000E+08
1.292E-01	3428.0	1.000E+08
1.137E-01	3454.1	1.000E+08
1.000E-01	3487.9	1.000E+08
