#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.870E+05	3225.5	1.000E+08
1.740E+05	3225.5	1.000E+08
1.507E+05	3225.5	1.000E+08
1.306E+05	3225.5	1.000E+08
1.131E+05	3225.4	1.000E+08
9.795E+04	3225.4	1.000E+08
8.484E+04	3225.3	1.000E+08
7.349E+04	3225.2	1.000E+08
6.365E+04	3225.1	1.000E+08
5.513E+04	3224.8	1.000E+08
4.775E+04	3224.3	1.000E+08
4.136E+04	3223.7	1.000E+08
3.582E+04	3222.9	1.000E+08
3.103E+04	3221.8	1.000E+08
2.688E+04	3220.4	1.000E+08
2.328E+04	3218.7	1.000E+08
2.016E+04	3216.7	1.000E+08
1.746E+04	3214.4	1.000E+08
1.513E+04	3211.9	1.000E+08
1.310E+04	3209.3	1.000E+08
1.135E+04	3206.6	1.000E+08
9.829E+03	3204.0	1.000E+08
8.513E+03	3201.6	1.000E+08
7.374E+03	3199.4	1.000E+08
6.387E+03	3197.2	1.000E+08
5.532E+03	3194.8	1.000E+08
4.792E+03	3192.2	1.000E+08
4.150E+03	3189.0	1.000E+08
3.595E+03	3185.1	1.000E+08
3.114E+03	3180.3	1.000E+08
2.697E+03	3174.7	1.000E+08
2.336E+03	3168.6	1.000E+08
2.023E+03	3161.9	1.000E+08
1.752E+03	3154.8	1.000E+08
1.518E+03	3147.2	1.000E+08
1.315E+03	3139.9	1.000E+08
1.139E+03	3133.6	1.000E+08
9.863E+02	3129.2	1.000E+08
8.543E+02	3126.7	1.000E+08
7.399E+02	3127.5	1.000E+08
6.409E+02	3133.6	1.000E+08
5.551E+02	3147.2	1.000E+08
4.808E+02	3169.4	1.000E+08
4.165E+02	3199.2	1.000E+08
3.607E+02	3235.2	1.000E+08
3.124E+02	3275.4	1.000E+08
2.706E+02	3314.5	1.000E+08
2.344E+02	3348.6	1.000E+08
2.030E+02	3375.2	1.000E+08
1.758E+02	3394.6	1.000E+08
1.523E+02	3408.4	1.000E+08
1.319E+02	3417.7	1.000E+08
1.143E+02	3423.6	1.000E+08
9.897E+01	3427.0	1.000E+08
8.572E+01	3428.3	1.000E+08
7.425E+01	3428.7	1.000E+08
6.431E+01	3428.8	1.000E+08
5.570E+01	3429.8	1.000E+08
4.825E+01	3433.3	1.000E+08
4.179E+01	3440.0	1.000E+08
3.620E+01	3452.8	1.000E+08
3.135E+01	3475.4	1.000E+08
2.715E+01	3509.2	1.000E+08
2.352E+01	3551.1	1.000E+08
2.037E+01	3587.5	1.000E+08
1.765E+01	3617.6	1.000E+08
1.528E+01	3643.1	1.000E+08
1.324E+01	3664.0	1.000E+08
1.147E+01	3680.9	1.000E+08
9.931E+00	3694.4	1.000E+08
8.602E+00	3706.1	1.000E+08
7.451E+00	3716.3	1.000E+08
6.453E+00	3724.7	1.000E+08
5.590E+00	3731.7	1.000E+08
4.841E+00	3737.3	1.000E+08
4.193E+00	3742.6	1.000E+08
3.632E+00	3747.6	1.000E+08
3.146E+00	3751.8	1.000E+08
2.725E+00	3755.4	1.000E+08
2.360E+00	3758.8	1.000E+08
2.044E+00	3762.6	1.000E+08
1.771E+00	3767.3	1.000E+08
1.534E+00	3772.4	1.000E+08
1.328E+00	3777.6	1.000E+08
1.151E+00	3782.4	1.000E+08
9.966E-01	3786.4	1.000E+08
8.632E-01	3789.8	1.000E+08
7.476E-01	3792.2	1.000E+08
6.476E-01	3793.6	1.000E+08
5.609E-01	3793.7	1.000E+08
4.858E-01	3792.8	1.000E+08
4.208E-01	3790.8	1.000E+08
3.645E-01	3788.0	1.000E+08
3.157E-01	3784.6	1.000E+08
2.734E-01	3781.1	1.000E+08
2.368E-01	3778.3	1.000E+08
2.051E-01	3779.2	1.000E+08
1.777E-01	3787.8	1.000E+08
1.539E-01	3805.9	1.000E+08
1.333E-01	3834.5	1.000E+08
1.155E-01	3874.4	1.000E+08
1.000E-01	3925.8	1.000E+08
