#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
3.868E+04	2969.8	1.000E+08
3.628E+04	2968.9	1.000E+08
3.192E+04	2967.6	1.000E+08
2.809E+04	2965.8	1.000E+08
2.471E+04	2963.2	1.000E+08
2.174E+04	2959.9	1.000E+08
1.913E+04	2955.7	1.000E+08
1.683E+04	2950.4	1.000E+08
1.481E+04	2944.0	1.000E+08
1.303E+04	2936.5	1.000E+08
1.146E+04	2927.9	1.000E+08
1.009E+04	2918.3	1.000E+08
8.874E+03	2907.9	1.000E+08
7.808E+03	2897.0	1.000E+08
6.870E+03	2885.7	1.000E+08
6.044E+03	2874.1	1.000E+08
5.318E+03	2862.5	1.000E+08
4.679E+03	2851.1	1.000E+08
4.117E+03	2840.0	1.000E+08
3.622E+03	2829.1	1.000E+08
3.187E+03	2818.8	1.000E+08
2.804E+03	2809.0	1.000E+08
2.467E+03	2799.9	1.000E+08
2.170E+03	2791.6	1.000E+08
1.910E+03	2783.8	1.000E+08
1.680E+03	2776.4	1.000E+08
1.478E+03	2769.2	1.000E+08
1.301E+03	2762.3	1.000E+08
1.144E+03	2755.5	1.000E+08
1.007E+03	2748.8	1.000E+08
8.859E+02	2742.2	1.000E+08
7.794E+02	2735.4	1.000E+08
6.858E+02	2728.6	1.000E+08
6.034E+02	2721.8	1.000E+08
5.309E+02	2715.1	1.000E+08
4.671E+02	2708.7	1.000E+08
4.110E+02	2702.4	1.000E+08
3.616E+02	2696.3	1.000E+08
3.181E+02	2690.4	1.000E+08
2.799E+02	2684.9	1.000E+08
2.463E+02	2680.2	1.000E+08
2.167E+02	2676.7	1.000E+08
1.906E+02	2674.6	1.000E+08
1.677E+02	2674.8	1.000E+08
1.476E+02	2678.3	1.000E+08
1.298E+02	2686.7	1.000E+08
1.142E+02	2702.4	1.000E+08
1.005E+02	2728.3	1.000E+08
8.844E+01	2764.0	1.000E+08
7.781E+01	2808.4	1.000E+08
6.846E+01	2857.7	1.000E+08
6.023E+01	2904.1	1.000E+08
5.300E+01	2936.8	1.000E+08
4.663E+01	2962.1	1.000E+08
4.103E+01	2981.8	1.000E+08
3.610E+01	3000.4	1.000E+08
3.176E+01	3017.2	1.000E+08
2.794E+01	3030.4	1.000E+08
2.458E+01	3040.7	1.000E+08
2.163E+01	3048.6	1.000E+08
1.903E+01	3053.8	1.000E+08
1.674E+01	3057.6	1.000E+08
1.473E+01	3060.2	1.000E+08
1.296E+01	3062.0	1.000E+08
1.140E+01	3063.3	1.000E+08
1.003E+01	3064.5	1.000E+08
8.829E+00	3065.8	1.000E+08
7.768E+00	3068.1	1.000E+08
6.834E+00	3072.7	1.000E+08
6.013E+00	3086.8	1.000E+08
5.291E+00	3112.7	1.000E+08
4.655E+00	3151.4	1.000E+08
4.096E+00	3201.6	1.000E+08
3.603E+00	3260.6	1.000E+08
3.170E+00	3309.5	1.000E+08
2.789E+00	3347.7	1.000E+08
2.454E+00	3376.1	1.000E+08
2.159E+00	3396.0	1.000E+08
1.900E+00	3409.7	1.000E+08
1.672E+00	3420.4	1.000E+08
1.471E+00	3429.1	1.000E+08
1.294E+00	3436.1	1.000E+08
1.139E+00	3441.8	1.000E+08
1.002E+00	3447.0	1.000E+08
8.813E-01	3454.0	1.000E+08
7.754E-01	3461.8	1.000E+08
6.823E-01	3469.9	1.000E+08
6.003E-01	3478.0	1.000E+08
5.282E-01	3486.1	1.000E+08
4.647E-01	3493.7	1.000E+08
4.089E-01	3500.7	1.000E+08
3.597E-01	3507.0	1.000E+08
3.165E-01	3512.3	1.000E+08
2.785E-01	3516.8	1.000E+08
2.450E-01	3520.2	1.000E+08
2.156E-01	3522.9	1.000E+08
1.897E-01	3525.3	1.000E+08
1.669E-01	3528.3	1.000E+08
1.468E-01	3536.7	1.000E+08
1.292E-01	3553.0	1.000E+08
1.137E-01	3578.2	1.000E+08
1.000E-01	3612.2	1.000E+08
