#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
6.806E+04	3030.1	1.000E+08
6.366E+04	3030.1	1.000E+08
5.570E+04	3030.0	1.000E+08
4.873E+04	3030.0	1.000E+08
4.263E+04	3029.9	1.000E+08
3.730E+04	3029.6	1.000E+08
3.263E+04	3029.2	1.000E+08
2.855E+04	3028.4	1.000E+08
2.498E+04	3027.3	1.000E+08
2.186E+04	3025.7	1.000E+08
1.912E+04	3023.5	1.000E+08
1.673E+04	3020.6	1.000E+08
1.464E+04	3016.8	1.000E+08
1.281E+04	3012.3	1.000E+08
1.120E+04	3006.8	1.000E+08
9.802E+03	3000.5	1.000E+08
8.576E+03	2993.2	1.000E+08
7.503E+03	2984.7	1.000E+08
6.565E+03	2975.3	1.000E+08
5.743E+03	2964.9	1.000E+08
5.025E+03	2953.7	1.000E+08
4.396E+03	2942.0	1.000E+08
3.846E+03	2929.5	1.000E+08
3.365E+03	2916.6	1.000E+08
2.944E+03	2903.9	1.000E+08
2.576E+03	2891.8	1.000E+08
2.254E+03	2880.2	1.000E+08
1.972E+03	2869.2	1.000E+08
1.725E+03	2858.4	1.000E+08
1.509E+03	2848.0	1.000E+08
1.321E+03	2838.0	1.000E+08
1.155E+03	2828.5	1.000E+08
1.011E+03	2819.5	1.000E+08
8.844E+02	2810.7	1.000E+08
7.737E+02	2802.1	1.000E+08
6.769E+02	2793.8	1.000E+08
5.923E+02	2785.8	1.000E+08
5.182E+02	2778.5	1.000E+08
4.534E+02	2771.9	1.000E+08
3.966E+02	2765.6	1.000E+08
3.470E+02	2759.9	1.000E+08
3.036E+02	2755.3	1.000E+08
2.656E+02	2752.7	1.000E+08
2.324E+02	2754.0	1.000E+08
2.033E+02	2760.9	1.000E+08
1.779E+02	2777.6	1.000E+08
1.556E+02	2810.6	1.000E+08
1.362E+02	2862.2	1.000E+08
1.191E+02	2930.2	1.000E+08
1.042E+02	2983.1	1.000E+08
9.120E+01	3032.1	1.000E+08
7.979E+01	3078.1	1.000E+08
6.981E+01	3114.9	1.000E+08
6.107E+01	3144.4	1.000E+08
5.343E+01	3167.0	1.000E+08
4.675E+01	3184.0	1.000E+08
4.090E+01	3195.9	1.000E+08
3.579E+01	3204.7	1.000E+08
3.131E+01	3211.6	1.000E+08
2.739E+01	3216.5	1.000E+08
2.397E+01	3233.0	1.000E+08
2.097E+01	3266.6	1.000E+08
1.834E+01	3318.9	1.000E+08
1.605E+01	3389.8	1.000E+08
1.404E+01	3477.2	1.000E+08
1.229E+01	3551.9	1.000E+08
1.075E+01	3611.3	1.000E+08
9.404E+00	3656.1	1.000E+08
8.228E+00	3688.4	1.000E+08
7.198E+00	3712.3	1.000E+08
6.298E+00	3731.7	1.000E+08
5.510E+00	3746.3	1.000E+08
4.821E+00	3757.0	1.000E+08
4.218E+00	3766.7	1.000E+08
3.690E+00	3775.4	1.000E+08
3.229E+00	3781.9	1.000E+08
2.825E+00	3786.3	1.000E+08
2.471E+00	3788.8	1.000E+08
2.162E+00	3789.7	1.000E+08
1.892E+00	3792.1	1.000E+08
1.655E+00	3794.4	1.000E+08
1.448E+00	3796.3	1.000E+08
1.267E+00	3798.1	1.000E+08
1.108E+00	3799.8	1.000E+08
9.697E-01	3802.1	1.000E+08
8.484E-01	3805.6	1.000E+08
7.423E-01	3808.9	1.000E+08
6.494E-01	3811.8	1.000E+08
5.682E-01	3814.0	1.000E+08
4.971E-01	3815.5	1.000E+08
4.349E-01	3816.2	1.000E+08
3.805E-01	3816.1	1.000E+08
3.329E-01	3815.6	1.000E+08
2.913E-01	3814.8	1.000E+08
2.548E-01	3814.3	1.000E+08
2.230E-01	3815.1	1.000E+08
1.951E-01	3819.2	1.000E+08
1.707E-01	3830.5	1.000E+08
1.493E-01	3851.0	1.000E+08
1.306E-01	3881.7	1.000E+08
1.143E-01	3923.5	1.000E+08
1.000E-01	3976.1	1.000E+08
