#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
4.410E+05	3095.6	1.000E+08
4.087E+05	3094.0	1.000E+08
3.510E+05	3092.1	1.000E+08
3.014E+05	3089.9	1.000E+08
2.588E+05	3087.5	1.000E+08
2.223E+05	3085.0	1.000E+08
1.909E+05	3082.3	1.000E+08
1.639E+05	3079.4	1.000E+08
1.408E+05	3076.5	1.000E+08
1.209E+05	3073.3	1.000E+08
1.038E+05	3070.1	1.000E+08
8.918E+04	3066.8	1.000E+08
7.658E+04	3063.4	1.000E+08
6.577E+04	3059.9	1.000E+08
5.648E+04	3056.4	1.000E+08
4.851E+04	3052.8	1.000E+08
4.166E+04	3048.9	1.000E+08
3.577E+04	3044.8	1.000E+08
3.072E+04	3040.5	1.000E+08
2.638E+04	3036.0	1.000E+08
2.266E+04	3031.5	1.000E+08
1.946E+04	3027.2	1.000E+08
1.671E+04	3022.9	1.000E+08
1.435E+04	3019.1	1.000E+08
1.232E+04	3015.8	1.000E+08
1.058E+04	3013.4	1.000E+08
9.089E+03	3012.0	1.000E+08
7.806E+03	3011.9	1.000E+08
6.704E+03	3013.6	1.000E+08
5.757E+03	3017.4	1.000E+08
4.944E+03	3024.3	1.000E+08
4.246E+03	3035.4	1.000E+08
3.646E+03	3053.4	1.000E+08
3.131E+03	3083.5	1.000E+08
2.689E+03	3129.3	1.000E+08
2.309E+03	3190.7	1.000E+08
1.983E+03	3261.5	1.000E+08
1.703E+03	3334.4	1.000E+08
1.463E+03	3404.6	1.000E+08
1.256E+03	3468.7	1.000E+08
1.079E+03	3525.6	1.000E+08
9.265E+02	3573.1	1.000E+08
7.956E+02	3612.1	1.000E+08
6.833E+02	3643.8	1.000E+08
5.868E+02	3669.0	1.000E+08
5.039E+02	3688.1	1.000E+08
4.328E+02	3701.4	1.000E+08
3.717E+02	3709.9	1.000E+08
3.192E+02	3714.2	1.000E+08
2.741E+02	3715.1	1.000E+08
2.354E+02	3713.4	1.000E+08
2.022E+02	3710.2	1.000E+08
1.736E+02	3705.8	1.000E+08
1.491E+02	3701.8	1.000E+08
1.280E+02	3700.3	1.000E+08
1.100E+02	3706.0	1.000E+08
9.443E+01	3723.2	1.000E+08
8.110E+01	3753.6	1.000E+08
6.965E+01	3796.3	1.000E+08
5.981E+01	3839.3	1.000E+08
5.136E+01	3876.0	1.000E+08
4.411E+01	3904.8	1.000E+08
3.788E+01	3928.0	1.000E+08
3.253E+01	3946.7	1.000E+08
2.794E+01	3961.7	1.000E+08
2.399E+01	3972.7	1.000E+08
2.061E+01	3980.7	1.000E+08
1.770E+01	3988.0	1.000E+08
1.520E+01	3993.7	1.000E+08
1.305E+01	3997.8	1.000E+08
1.121E+01	4000.7	1.000E+08
9.625E+00	4003.9	1.000E+08
8.266E+00	4009.3	1.000E+08
7.099E+00	4014.8	1.000E+08
6.096E+00	4019.7	1.000E+08
5.236E+00	4023.4	1.000E+08
4.496E+00	4026.5	1.000E+08
3.861E+00	4030.5	1.000E+08
3.316E+00	4034.0	1.000E+08
2.848E+00	4036.8	1.000E+08
2.446E+00	4039.6	1.000E+08
2.100E+00	4042.9	1.000E+08
1.804E+00	4047.1	1.000E+08
1.549E+00	4051.3	1.000E+08
1.330E+00	4054.6	1.000E+08
1.142E+00	4056.4	1.000E+08
9.811E-01	4056.7	1.000E+08
8.425E-01	4056.3	1.000E+08
7.236E-01	4054.6	1.000E+08
6.214E-01	4051.6	1.000E+08
5.336E-01	4047.1	1.000E+08
4.583E-01	4041.3	1.000E+08
3.936E-01	4034.3	1.000E+08
3.380E-01	4026.4	1.000E+08
2.903E-01	4017.9	1.000E+08
2.493E-01	4009.6	1.000E+08
2.141E-01	4003.6	1.000E+08
1.838E-01	4005.1	1.000E+08
1.579E-01	4016.6	1.000E+08
1.356E-01	4039.6	1.000E+08
1.164E-01	4075.1	1.000E+08
1.000E-01	4123.4	1.000E+08
