#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
3.431E+04	2913.9	1.000E+08
3.220E+04	2910.9	1.000E+08
2.837E+04	2908.2	1.000E+08
2.499E+04	2905.4	1.000E+08
2.201E+04	2902.5	1.000E+08
1.939E+04	2899.7	1.000E+08
1.708E+04	2897.0	1.000E+08
1.505E+04	2894.3	1.000E+08
1.325E+04	2891.6	1.000E+08
1.167E+04	2889.0	1.000E+08
1.028E+04	2886.4	1.000E+08
9.059E+03	2883.7	1.000E+08
7.980E+03	2880.9	1.000E+08
7.030E+03	2877.8	1.000E+08
6.192E+03	2874.6	1.000E+08
5.455E+03	2871.2	1.000E+08
4.805E+03	2867.6	1.000E+08
4.233E+03	2863.8	1.000E+08
3.729E+03	2859.8	1.000E+08
3.284E+03	2855.8	1.000E+08
2.893E+03	2851.6	1.000E+08
2.549E+03	2847.4	1.000E+08
2.245E+03	2843.3	1.000E+08
1.978E+03	2839.2	1.000E+08
1.742E+03	2834.9	1.000E+08
1.535E+03	2830.7	1.000E+08
1.352E+03	2826.6	1.000E+08
1.191E+03	2822.6	1.000E+08
1.049E+03	2819.0	1.000E+08
9.240E+02	2815.8	1.000E+08
8.139E+02	2812.8	1.000E+08
7.170E+02	2810.2	1.000E+08
6.316E+02	2807.9	1.000E+08
5.564E+02	2806.2	1.000E+08
4.901E+02	2805.2	1.000E+08
4.317E+02	2805.2	1.000E+08
3.803E+02	2806.4	1.000E+08
3.350E+02	2810.2	1.000E+08
2.951E+02	2817.7	1.000E+08
2.599E+02	2830.9	1.000E+08
2.290E+02	2851.1	1.000E+08
2.017E+02	2878.3	1.000E+08
1.777E+02	2911.4	1.000E+08
1.565E+02	2948.8	1.000E+08
1.379E+02	2982.1	1.000E+08
1.215E+02	3007.0	1.000E+08
1.070E+02	3032.3	1.000E+08
9.424E+01	3056.2	1.000E+08
8.302E+01	3077.9	1.000E+08
7.313E+01	3097.7	1.000E+08
6.442E+01	3115.7	1.000E+08
5.675E+01	3131.9	1.000E+08
4.999E+01	3146.4	1.000E+08
4.403E+01	3159.2	1.000E+08
3.879E+01	3170.2	1.000E+08
3.417E+01	3179.2	1.000E+08
3.010E+01	3186.2	1.000E+08
2.651E+01	3191.2	1.000E+08
2.336E+01	3194.3	1.000E+08
2.057E+01	3195.7	1.000E+08
1.812E+01	3195.8	1.000E+08
1.596E+01	3194.5	1.000E+08
1.406E+01	3192.2	1.000E+08
1.239E+01	3189.1	1.000E+08
1.091E+01	3185.3	1.000E+08
9.613E+00	3181.0	1.000E+08
8.468E+00	3176.4	1.000E+08
7.459E+00	3171.5	1.000E+08
6.571E+00	3166.5	1.000E+08
5.788E+00	3161.4	1.000E+08
5.099E+00	3156.4	1.000E+08
4.491E+00	3151.8	1.000E+08
3.956E+00	3147.6	1.000E+08
3.485E+00	3143.7	1.000E+08
3.070E+00	3140.1	1.000E+08
2.704E+00	3136.9	1.000E+08
2.382E+00	3134.2	1.000E+08
2.098E+00	3131.8	1.000E+08
1.848E+00	3129.9	1.000E+08
1.628E+00	3128.1	1.000E+08
1.434E+00	3126.7	1.000E+08
1.264E+00	3125.3	1.000E+08
1.113E+00	3124.2	1.000E+08
9.804E-01	3123.1	1.000E+08
8.637E-01	3122.1	1.000E+08
7.608E-01	3121.1	1.000E+08
6.702E-01	3120.4	1.000E+08
5.903E-01	3120.0	1.000E+08
5.200E-01	3120.2	1.000E+08
4.581E-01	3120.9	1.000E+08
4.035E-01	3122.5	1.000E+08
3.555E-01	3125.0	1.000E+08
3.131E-01	3128.5	1.000E+08
2.758E-01	3133.0	1.000E+08
2.430E-01	3138.5	1.000E+08
2.140E-01	3145.5	1.000E+08
1.885E-01	3154.4	1.000E+08
1.661E-01	3166.5	1.000E+08
1.463E-01	3182.6	1.000E+08
1.289E-01	3200.1	1.000E+08
1.135E-01	3210.6	1.000E+08
1.000E-01	3213.2	1.000E+08
