#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.978E+04	2828.5	1.000E+08
1.862E+04	2827.0	1.000E+08
1.649E+04	2826.0	1.000E+08
1.460E+04	2825.0	1.000E+08
1.294E+04	2824.2	1.000E+08
1.146E+04	2823.4	1.000E+08
1.015E+04	2822.7	1.000E+08
8.988E+03	2821.8	1.000E+08
7.961E+03	2820.8	1.000E+08
7.052E+03	2819.7	1.000E+08
6.246E+03	2818.3	1.000E+08
5.532E+03	2816.7	1.000E+08
4.900E+03	2814.9	1.000E+08
4.340E+03	2812.9	1.000E+08
3.844E+03	2810.7	1.000E+08
3.405E+03	2808.4	1.000E+08
3.016E+03	2805.9	1.000E+08
2.671E+03	2803.4	1.000E+08
2.366E+03	2800.8	1.000E+08
2.096E+03	2798.1	1.000E+08
1.856E+03	2795.4	1.000E+08
1.644E+03	2792.6	1.000E+08
1.456E+03	2789.8	1.000E+08
1.290E+03	2787.1	1.000E+08
1.142E+03	2784.5	1.000E+08
1.012E+03	2782.2	1.000E+08
8.962E+02	2780.2	1.000E+08
7.938E+02	2778.4	1.000E+08
7.031E+02	2776.8	1.000E+08
6.227E+02	2775.7	1.000E+08
5.516E+02	2775.2	1.000E+08
4.886E+02	2775.9	1.000E+08
4.327E+02	2778.0	1.000E+08
3.833E+02	2782.3	1.000E+08
3.395E+02	2790.4	1.000E+08
3.007E+02	2804.0	1.000E+08
2.663E+02	2824.4	1.000E+08
2.359E+02	2852.9	1.000E+08
2.089E+02	2888.8	1.000E+08
1.851E+02	2927.8	1.000E+08
1.639E+02	2966.9	1.000E+08
1.452E+02	2996.3	1.000E+08
1.286E+02	3022.6	1.000E+08
1.139E+02	3048.9	1.000E+08
1.009E+02	3073.2	1.000E+08
8.936E+01	3095.1	1.000E+08
7.915E+01	3115.0	1.000E+08
7.010E+01	3133.0	1.000E+08
6.209E+01	3149.2	1.000E+08
5.500E+01	3163.6	1.000E+08
4.871E+01	3176.0	1.000E+08
4.315E+01	3186.4	1.000E+08
3.822E+01	3194.8	1.000E+08
3.385E+01	3201.2	1.000E+08
2.998E+01	3205.6	1.000E+08
2.655E+01	3208.3	1.000E+08
2.352E+01	3209.4	1.000E+08
2.083E+01	3209.2	1.000E+08
1.845E+01	3207.9	1.000E+08
1.634E+01	3205.7	1.000E+08
1.448E+01	3202.7	1.000E+08
1.282E+01	3199.0	1.000E+08
1.136E+01	3194.9	1.000E+08
1.006E+01	3190.6	1.000E+08
8.910E+00	3186.1	1.000E+08
7.891E+00	3181.4	1.000E+08
6.990E+00	3176.6	1.000E+08
6.191E+00	3171.9	1.000E+08
5.484E+00	3167.4	1.000E+08
4.857E+00	3163.2	1.000E+08
4.302E+00	3159.4	1.000E+08
3.810E+00	3156.1	1.000E+08
3.375E+00	3153.0	1.000E+08
2.989E+00	3150.4	1.000E+08
2.648E+00	3148.1	1.000E+08
2.345E+00	3146.2	1.000E+08
2.077E+00	3144.6	1.000E+08
1.840E+00	3143.2	1.000E+08
1.630E+00	3142.1	1.000E+08
1.443E+00	3141.0	1.000E+08
1.278E+00	3140.2	1.000E+08
1.132E+00	3139.4	1.000E+08
1.003E+00	3138.8	1.000E+08
8.883E-01	3138.2	1.000E+08
7.868E-01	3137.8	1.000E+08
6.969E-01	3137.7	1.000E+08
6.173E-01	3138.1	1.000E+08
5.467E-01	3139.2	1.000E+08
4.843E-01	3141.1	1.000E+08
4.289E-01	3143.8	1.000E+08
3.799E-01	3147.6	1.000E+08
3.365E-01	3152.2	1.000E+08
2.980E-01	3157.7	1.000E+08
2.640E-01	3164.2	1.000E+08
2.338E-01	3172.0	1.000E+08
2.071E-01	3181.7	1.000E+08
1.834E-01	3193.6	1.000E+08
1.625E-01	3207.3	1.000E+08
1.439E-01	3221.3	1.000E+08
1.275E-01	3231.3	1.000E+08
1.129E-01	3234.4	1.000E+08
1.000E-01	3234.7	1.000E+08
