#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
2.614E+05	3087.3	1.000E+08
2.429E+05	3086.7	1.000E+08
2.097E+05	3085.9	1.000E+08
1.810E+05	3084.8	1.000E+08
1.562E+05	3083.5	1.000E+08
1.349E+05	3081.9	1.000E+08
1.164E+05	3080.2	1.000E+08
1.005E+05	3078.2	1.000E+08
8.678E+04	3076.1	1.000E+08
7.491E+04	3073.8	1.000E+08
6.467E+04	3071.5	1.000E+08
5.583E+04	3069.1	1.000E+08
4.819E+04	3066.7	1.000E+08
4.160E+04	3064.3	1.000E+08
3.592E+04	3061.8	1.000E+08
3.100E+04	3059.1	1.000E+08
2.677E+04	3056.1	1.000E+08
2.311E+04	3052.7	1.000E+08
1.995E+04	3048.8	1.000E+08
1.722E+04	3044.2	1.000E+08
1.486E+04	3038.9	1.000E+08
1.283E+04	3032.9	1.000E+08
1.108E+04	3026.2	1.000E+08
9.563E+03	3018.8	1.000E+08
8.255E+03	3010.8	1.000E+08
7.127E+03	3002.0	1.000E+08
6.152E+03	2992.4	1.000E+08
5.311E+03	2982.1	1.000E+08
4.585E+03	2971.5	1.000E+08
3.958E+03	2960.5	1.000E+08
3.417E+03	2949.4	1.000E+08
2.950E+03	2938.5	1.000E+08
2.546E+03	2928.0	1.000E+08
2.198E+03	2918.3	1.000E+08
1.898E+03	2909.3	1.000E+08
1.638E+03	2900.9	1.000E+08
1.414E+03	2893.8	1.000E+08
1.221E+03	2888.4	1.000E+08
1.054E+03	2885.7	1.000E+08
9.098E+02	2885.7	1.000E+08
7.854E+02	2889.3	1.000E+08
6.780E+02	2897.9	1.000E+08
5.853E+02	2912.0	1.000E+08
5.053E+02	2929.7	1.000E+08
4.362E+02	2948.0	1.000E+08
3.765E+02	2964.5	1.000E+08
3.251E+02	2979.9	1.000E+08
2.806E+02	2995.1	1.000E+08
2.422E+02	3011.0	1.000E+08
2.091E+02	3025.0	1.000E+08
1.805E+02	3036.5	1.000E+08
1.558E+02	3046.1	1.000E+08
1.345E+02	3053.8	1.000E+08
1.161E+02	3059.8	1.000E+08
1.003E+02	3064.0	1.000E+08
8.655E+01	3066.6	1.000E+08
7.472E+01	3067.9	1.000E+08
6.450E+01	3068.2	1.000E+08
5.568E+01	3067.7	1.000E+08
4.807E+01	3066.6	1.000E+08
4.150E+01	3064.8	1.000E+08
3.582E+01	3062.7	1.000E+08
3.092E+01	3060.4	1.000E+08
2.670E+01	3058.1	1.000E+08
2.305E+01	3055.8	1.000E+08
1.989E+01	3053.7	1.000E+08
1.717E+01	3051.9	1.000E+08
1.483E+01	3050.5	1.000E+08
1.280E+01	3049.5	1.000E+08
1.105E+01	3049.0	1.000E+08
9.538E+00	3048.8	1.000E+08
8.234E+00	3048.7	1.000E+08
7.108E+00	3048.9	1.000E+08
6.136E+00	3049.2	1.000E+08
5.297E+00	3049.7	1.000E+08
4.573E+00	3050.0	1.000E+08
3.948E+00	3050.2	1.000E+08
3.408E+00	3050.2	1.000E+08
2.942E+00	3050.3	1.000E+08
2.540E+00	3050.6	1.000E+08
2.192E+00	3050.9	1.000E+08
1.893E+00	3051.4	1.000E+08
1.634E+00	3052.1	1.000E+08
1.410E+00	3052.8	1.000E+08
1.218E+00	3053.8	1.000E+08
1.051E+00	3054.8	1.000E+08
9.074E-01	3056.0	1.000E+08
7.833E-01	3057.1	1.000E+08
6.762E-01	3058.1	1.000E+08
5.838E-01	3059.0	1.000E+08
5.040E-01	3059.6	1.000E+08
4.350E-01	3059.8	1.000E+08
3.756E-01	3059.3	1.000E+08
3.242E-01	3058.2	1.000E+08
2.799E-01	3056.5	1.000E+08
2.416E-01	3054.1	1.000E+08
2.086E-01	3051.2	1.000E+08
1.801E-01	3048.0	1.000E+08
1.554E-01	3045.1	1.000E+08
1.342E-01	3046.3	1.000E+08
1.158E-01	3054.2	1.000E+08
1.000E-01	3069.0	1.000E+08
