#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
9.051E+04	3067.5	1.000E+08
8.454E+04	3067.4	1.000E+08
7.375E+04	3067.1	1.000E+08
6.435E+04	3066.7	1.000E+08
5.614E+04	3066.1	1.000E+08
4.898E+04	3065.2	1.000E+08
4.273E+04	3064.2	1.000E+08
3.728E+04	3062.9	1.000E+08
3.252E+04	3061.4	1.000E+08
2.837E+04	3059.7	1.000E+08
2.475E+04	3057.9	1.000E+08
2.160E+04	3056.0	1.000E+08
1.884E+04	3054.0	1.000E+08
1.644E+04	3052.1	1.000E+08
1.434E+04	3050.2	1.000E+08
1.251E+04	3048.4	1.000E+08
1.091E+04	3046.9	1.000E+08
9.522E+03	3045.5	1.000E+08
8.307E+03	3044.3	1.000E+08
7.248E+03	3043.2	1.000E+08
6.323E+03	3042.0	1.000E+08
5.516E+03	3040.5	1.000E+08
4.813E+03	3038.5	1.000E+08
4.199E+03	3036.0	1.000E+08
3.663E+03	3032.8	1.000E+08
3.196E+03	3028.7	1.000E+08
2.788E+03	3023.7	1.000E+08
2.432E+03	3017.8	1.000E+08
2.122E+03	3011.4	1.000E+08
1.851E+03	3004.3	1.000E+08
1.615E+03	2996.4	1.000E+08
1.409E+03	2988.0	1.000E+08
1.229E+03	2979.2	1.000E+08
1.073E+03	2970.4	1.000E+08
9.357E+02	2961.9	1.000E+08
8.163E+02	2953.5	1.000E+08
7.122E+02	2945.6	1.000E+08
6.213E+02	2938.5	1.000E+08
5.421E+02	2932.8	1.000E+08
4.729E+02	2929.2	1.000E+08
4.126E+02	2927.3	1.000E+08
3.599E+02	2927.7	1.000E+08
3.140E+02	2931.0	1.000E+08
2.740E+02	2937.6	1.000E+08
2.390E+02	2947.7	1.000E+08
2.085E+02	2959.6	1.000E+08
1.819E+02	2971.2	1.000E+08
1.587E+02	2983.4	1.000E+08
1.385E+02	2996.5	1.000E+08
1.208E+02	3011.3	1.000E+08
1.054E+02	3026.0	1.000E+08
9.195E+01	3038.6	1.000E+08
8.022E+01	3048.6	1.000E+08
6.998E+01	3057.1	1.000E+08
6.105E+01	3064.3	1.000E+08
5.327E+01	3070.3	1.000E+08
4.647E+01	3075.2	1.000E+08
4.054E+01	3077.7	1.000E+08
3.537E+01	3079.3	1.000E+08
3.086E+01	3080.1	1.000E+08
2.692E+01	3080.3	1.000E+08
2.349E+01	3080.1	1.000E+08
2.049E+01	3079.2	1.000E+08
1.788E+01	3077.5	1.000E+08
1.560E+01	3075.8	1.000E+08
1.361E+01	3074.1	1.000E+08
1.187E+01	3072.5	1.000E+08
1.036E+01	3071.2	1.000E+08
9.035E+00	3070.0	1.000E+08
7.882E+00	3069.2	1.000E+08
6.877E+00	3068.7	1.000E+08
6.000E+00	3068.7	1.000E+08
5.234E+00	3069.1	1.000E+08
4.566E+00	3069.9	1.000E+08
3.984E+00	3071.0	1.000E+08
3.476E+00	3072.3	1.000E+08
3.032E+00	3074.0	1.000E+08
2.645E+00	3076.0	1.000E+08
2.308E+00	3078.5	1.000E+08
2.014E+00	3081.4	1.000E+08
1.757E+00	3084.8	1.000E+08
1.533E+00	3089.1	1.000E+08
1.337E+00	3094.5	1.000E+08
1.166E+00	3100.8	1.000E+08
1.018E+00	3108.0	1.000E+08
8.878E-01	3115.1	1.000E+08
7.746E-01	3122.6	1.000E+08
6.758E-01	3130.4	1.000E+08
5.895E-01	3138.3	1.000E+08
5.143E-01	3146.1	1.000E+08
4.487E-01	3153.3	1.000E+08
3.915E-01	3159.8	1.000E+08
3.415E-01	3165.2	1.000E+08
2.980E-01	3169.4	1.000E+08
2.600E-01	3172.2	1.000E+08
2.268E-01	3173.6	1.000E+08
1.979E-01	3173.6	1.000E+08
1.726E-01	3172.1	1.000E+08
1.506E-01	3171.2	1.000E+08
1.314E-01	3177.0	1.000E+08
1.146E-01	3191.1	1.000E+08
1.000E-01	3214.6	1.000E+08
