#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.203E+04	2697.4	1.000E+08
1.135E+04	2685.2	1.000E+08
1.010E+04	2677.5	1.000E+08
8.993E+03	2668.8	1.000E+08
8.005E+03	2660.2	1.000E+08
7.125E+03	2651.7	1.000E+08
6.342E+03	2643.1	1.000E+08
5.645E+03	2634.4	1.000E+08
5.025E+03	2625.8	1.000E+08
4.473E+03	2617.0	1.000E+08
3.981E+03	2608.2	1.000E+08
3.544E+03	2599.3	1.000E+08
3.155E+03	2590.3	1.000E+08
2.808E+03	2581.3	1.000E+08
2.499E+03	2572.3	1.000E+08
2.225E+03	2563.4	1.000E+08
1.980E+03	2554.7	1.000E+08
1.763E+03	2546.0	1.000E+08
1.569E+03	2537.5	1.000E+08
1.397E+03	2529.1	1.000E+08
1.243E+03	2521.0	1.000E+08
1.107E+03	2513.2	1.000E+08
9.850E+02	2505.8	1.000E+08
8.768E+02	2498.8	1.000E+08
7.804E+02	2492.0	1.000E+08
6.947E+02	2485.7	1.000E+08
6.184E+02	2479.8	1.000E+08
5.504E+02	2474.5	1.000E+08
4.899E+02	2470.1	1.000E+08
4.361E+02	2466.4	1.000E+08
3.882E+02	2463.7	1.000E+08
3.455E+02	2461.9	1.000E+08
3.076E+02	2461.3	1.000E+08
2.738E+02	2461.8	1.000E+08
2.437E+02	2463.5	1.000E+08
2.169E+02	2466.6	1.000E+08
1.931E+02	2471.1	1.000E+08
1.719E+02	2477.2	1.000E+08
1.530E+02	2485.9	1.000E+08
1.362E+02	2498.9	1.000E+08
1.212E+02	2520.8	1.000E+08
1.079E+02	2555.1	1.000E+08
9.604E+01	2602.5	1.000E+08
8.549E+01	2658.2	1.000E+08
7.609E+01	2704.6	1.000E+08
6.773E+01	2743.0	1.000E+08
6.029E+01	2773.6	1.000E+08
5.367E+01	2798.6	1.000E+08
4.777E+01	2818.5	1.000E+08
4.252E+01	2834.7	1.000E+08
3.785E+01	2848.0	1.000E+08
3.369E+01	2859.2	1.000E+08
2.999E+01	2868.7	1.000E+08
2.669E+01	2876.7	1.000E+08
2.376E+01	2883.4	1.000E+08
2.115E+01	2889.1	1.000E+08
1.883E+01	2893.7	1.000E+08
1.676E+01	2897.8	1.000E+08
1.492E+01	2901.2	1.000E+08
1.328E+01	2904.0	1.000E+08
1.182E+01	2906.9	1.000E+08
1.052E+01	2910.1	1.000E+08
9.364E+00	2913.7	1.000E+08
8.335E+00	2918.3	1.000E+08
7.419E+00	2924.1	1.000E+08
6.604E+00	2931.7	1.000E+08
5.878E+00	2942.5	1.000E+08
5.232E+00	2961.0	1.000E+08
4.657E+00	2989.4	1.000E+08
4.146E+00	3027.5	1.000E+08
3.690E+00	3073.4	1.000E+08
3.285E+00	3120.0	1.000E+08
2.924E+00	3161.6	1.000E+08
2.603E+00	3196.0	1.000E+08
2.317E+00	3224.6	1.000E+08
2.062E+00	3248.7	1.000E+08
1.835E+00	3267.7	1.000E+08
1.634E+00	3284.3	1.000E+08
1.454E+00	3298.9	1.000E+08
1.294E+00	3311.4	1.000E+08
1.152E+00	3322.2	1.000E+08
1.026E+00	3331.7	1.000E+08
9.130E-01	3340.2	1.000E+08
8.126E-01	3348.1	1.000E+08
7.234E-01	3355.4	1.000E+08
6.439E-01	3362.0	1.000E+08
5.731E-01	3368.1	1.000E+08
5.102E-01	3373.5	1.000E+08
4.541E-01	3378.2	1.000E+08
4.042E-01	3382.3	1.000E+08
3.598E-01	3385.8	1.000E+08
3.203E-01	3388.7	1.000E+08
2.851E-01	3391.1	1.000E+08
2.537E-01	3393.1	1.000E+08
2.259E-01	3395.2	1.000E+08
2.010E-01	3397.6	1.000E+08
1.790E-01	3400.8	1.000E+08
1.593E-01	3404.6	1.000E+08
1.418E-01	3408.3	1.000E+08
1.262E-01	3407.9	1.000E+08
1.123E-01	3399.3	1.000E+08
1.000E-01	3390.1	1.000E+08
