#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
5.496E+03	2726.5	1.000E+08
5.206E+03	2711.1	1.000E+08
4.670E+03	2699.6	1.000E+08
4.189E+03	2687.9	1.000E+08
3.758E+03	2676.7	1.000E+08
3.371E+03	2665.9	1.000E+08
3.024E+03	2655.6	1.000E+08
2.713E+03	2645.7	1.000E+08
2.434E+03	2636.2	1.000E+08
2.183E+03	2627.2	1.000E+08
1.959E+03	2618.5	1.000E+08
1.757E+03	2610.1	1.000E+08
1.576E+03	2601.8	1.000E+08
1.414E+03	2593.8	1.000E+08
1.269E+03	2585.9	1.000E+08
1.138E+03	2578.3	1.000E+08
1.021E+03	2570.7	1.000E+08
9.159E+02	2563.2	1.000E+08
8.216E+02	2555.7	1.000E+08
7.371E+02	2548.1	1.000E+08
6.612E+02	2540.4	1.000E+08
5.932E+02	2532.8	1.000E+08
5.321E+02	2525.2	1.000E+08
4.774E+02	2517.7	1.000E+08
4.282E+02	2510.3	1.000E+08
3.842E+02	2503.0	1.000E+08
3.446E+02	2495.8	1.000E+08
3.092E+02	2488.7	1.000E+08
2.773E+02	2481.7	1.000E+08
2.488E+02	2475.0	1.000E+08
2.232E+02	2468.5	1.000E+08
2.002E+02	2462.3	1.000E+08
1.796E+02	2456.3	1.000E+08
1.611E+02	2450.5	1.000E+08
1.446E+02	2445.0	1.000E+08
1.297E+02	2439.9	1.000E+08
1.163E+02	2435.4	1.000E+08
1.044E+02	2431.6	1.000E+08
9.362E+01	2428.5	1.000E+08
8.399E+01	2426.1	1.000E+08
7.534E+01	2424.3	1.000E+08
6.759E+01	2423.3	1.000E+08
6.063E+01	2423.0	1.000E+08
5.439E+01	2423.4	1.000E+08
4.880E+01	2424.5	1.000E+08
4.377E+01	2426.3	1.000E+08
3.927E+01	2428.9	1.000E+08
3.523E+01	2432.2	1.000E+08
3.160E+01	2436.7	1.000E+08
2.835E+01	2443.2	1.000E+08
2.543E+01	2453.3	1.000E+08
2.282E+01	2469.1	1.000E+08
2.047E+01	2493.4	1.000E+08
1.836E+01	2527.8	1.000E+08
1.647E+01	2572.8	1.000E+08
1.478E+01	2619.4	1.000E+08
1.326E+01	2655.3	1.000E+08
1.189E+01	2681.0	1.000E+08
1.067E+01	2701.8	1.000E+08
9.570E+00	2717.4	1.000E+08
8.585E+00	2729.1	1.000E+08
7.702E+00	2739.2	1.000E+08
6.909E+00	2747.8	1.000E+08
6.198E+00	2754.9	1.000E+08
5.560E+00	2760.8	1.000E+08
4.988E+00	2765.9	1.000E+08
4.475E+00	2769.9	1.000E+08
4.014E+00	2772.9	1.000E+08
3.601E+00	2775.5	1.000E+08
3.230E+00	2777.8	1.000E+08
2.898E+00	2779.9	1.000E+08
2.600E+00	2781.8	1.000E+08
2.332E+00	2783.7	1.000E+08
2.092E+00	2785.5	1.000E+08
1.877E+00	2787.2	1.000E+08
1.684E+00	2789.2	1.000E+08
1.510E+00	2791.4	1.000E+08
1.355E+00	2794.0	1.000E+08
1.216E+00	2797.2	1.000E+08
1.090E+00	2801.3	1.000E+08
9.783E-01	2808.7	1.000E+08
8.776E-01	2823.8	1.000E+08
7.873E-01	2848.0	1.000E+08
7.063E-01	2882.0	1.000E+08
6.336E-01	2925.9	1.000E+08
5.684E-01	2979.0	1.000E+08
5.099E-01	3038.9	1.000E+08
4.574E-01	3090.2	1.000E+08
4.103E-01	3132.8	1.000E+08
3.681E-01	3166.9	1.000E+08
3.302E-01	3193.1	1.000E+08
2.962E-01	3212.5	1.000E+08
2.658E-01	3227.2	1.000E+08
2.384E-01	3239.3	1.000E+08
2.139E-01	3249.7	1.000E+08
1.919E-01	3258.8	1.000E+08
1.721E-01	3267.7	1.000E+08
1.544E-01	3277.4	1.000E+08
1.385E-01	3289.9	1.000E+08
1.243E-01	3308.3	1.000E+08
1.115E-01	3334.1	1.000E+08
1.000E-01	3367.2	1.000E+08
