#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
7.793E+04	3054.1	1.000E+08
7.284E+04	3053.9	1.000E+08
6.365E+04	3053.6	1.000E+08
5.561E+04	3053.1	1.000E+08
4.859E+04	3052.4	1.000E+08
4.245E+04	3051.5	1.000E+08
3.709E+04	3050.4	1.000E+08
3.241E+04	3049.0	1.000E+08
2.832E+04	3047.3	1.000E+08
2.474E+04	3045.4	1.000E+08
2.162E+04	3043.4	1.000E+08
1.889E+04	3041.3	1.000E+08
1.650E+04	3039.0	1.000E+08
1.442E+04	3036.7	1.000E+08
1.260E+04	3034.5	1.000E+08
1.101E+04	3032.4	1.000E+08
9.617E+03	3030.5	1.000E+08
8.403E+03	3028.8	1.000E+08
7.342E+03	3027.3	1.000E+08
6.414E+03	3025.9	1.000E+08
5.605E+03	3024.5	1.000E+08
4.897E+03	3023.0	1.000E+08
4.278E+03	3021.2	1.000E+08
3.738E+03	3019.0	1.000E+08
3.266E+03	3016.2	1.000E+08
2.854E+03	3012.6	1.000E+08
2.493E+03	3008.3	1.000E+08
2.179E+03	3003.3	1.000E+08
1.903E+03	2997.7	1.000E+08
1.663E+03	2991.2	1.000E+08
1.453E+03	2984.0	1.000E+08
1.270E+03	2976.2	1.000E+08
1.109E+03	2968.1	1.000E+08
9.692E+02	2960.0	1.000E+08
8.468E+02	2951.9	1.000E+08
7.399E+02	2943.9	1.000E+08
6.465E+02	2936.3	1.000E+08
5.648E+02	2929.6	1.000E+08
4.935E+02	2924.2	1.000E+08
4.312E+02	2920.4	1.000E+08
3.768E+02	2918.3	1.000E+08
3.292E+02	2918.8	1.000E+08
2.876E+02	2922.5	1.000E+08
2.513E+02	2930.3	1.000E+08
2.196E+02	2942.2	1.000E+08
1.918E+02	2955.5	1.000E+08
1.676E+02	2969.4	1.000E+08
1.465E+02	2983.8	1.000E+08
1.280E+02	2999.3	1.000E+08
1.118E+02	3017.0	1.000E+08
9.768E+01	3034.1	1.000E+08
8.535E+01	3048.3	1.000E+08
7.457E+01	3060.3	1.000E+08
6.516E+01	3070.6	1.000E+08
5.693E+01	3079.3	1.000E+08
4.974E+01	3086.4	1.000E+08
4.346E+01	3091.4	1.000E+08
3.797E+01	3094.3	1.000E+08
3.318E+01	3096.0	1.000E+08
2.899E+01	3096.8	1.000E+08
2.533E+01	3096.8	1.000E+08
2.213E+01	3096.2	1.000E+08
1.933E+01	3094.6	1.000E+08
1.689E+01	3092.4	1.000E+08
1.476E+01	3090.0	1.000E+08
1.290E+01	3087.4	1.000E+08
1.127E+01	3084.9	1.000E+08
9.845E+00	3082.4	1.000E+08
8.602E+00	3079.8	1.000E+08
7.516E+00	3077.5	1.000E+08
6.567E+00	3075.2	1.000E+08
5.737E+00	3073.2	1.000E+08
5.013E+00	3071.3	1.000E+08
4.380E+00	3069.6	1.000E+08
3.827E+00	3068.0	1.000E+08
3.344E+00	3066.7	1.000E+08
2.921E+00	3065.6	1.000E+08
2.553E+00	3064.8	1.000E+08
2.230E+00	3064.6	1.000E+08
1.949E+00	3065.2	1.000E+08
1.703E+00	3066.8	1.000E+08
1.488E+00	3069.5	1.000E+08
1.300E+00	3073.6	1.000E+08
1.136E+00	3079.2	1.000E+08
9.922E-01	3086.2	1.000E+08
8.669E-01	3093.5	1.000E+08
7.575E-01	3101.5	1.000E+08
6.618E-01	3109.7	1.000E+08
5.782E-01	3117.9	1.000E+08
5.052E-01	3125.7	1.000E+08
4.414E-01	3132.7	1.000E+08
3.857E-01	3138.6	1.000E+08
3.370E-01	3143.2	1.000E+08
2.944E-01	3146.5	1.000E+08
2.573E-01	3148.4	1.000E+08
2.248E-01	3149.2	1.000E+08
1.964E-01	3149.3	1.000E+08
1.716E-01	3149.0	1.000E+08
1.499E-01	3151.8	1.000E+08
1.310E-01	3161.1	1.000E+08
1.145E-01	3178.3	1.000E+08
1.000E-01	3203.8	1.000E+08
