#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
9.891E+04	3094.8	1.000E+08
9.234E+04	3094.7	1.000E+08
8.049E+04	3094.6	1.000E+08
7.016E+04	3094.3	1.000E+08
6.116E+04	3094.0	1.000E+08
5.331E+04	3093.5	1.000E+08
4.647E+04	3092.7	1.000E+08
4.050E+04	3091.8	1.000E+08
3.530E+04	3090.5	1.000E+08
3.077E+04	3088.9	1.000E+08
2.682E+04	3087.1	1.000E+08
2.338E+04	3085.0	1.000E+08
2.038E+04	3082.7	1.000E+08
1.776E+04	3080.2	1.000E+08
1.548E+04	3077.4	1.000E+08
1.350E+04	3074.6	1.000E+08
1.177E+04	3071.7	1.000E+08
1.026E+04	3068.9	1.000E+08
8.939E+03	3066.1	1.000E+08
7.792E+03	3063.4	1.000E+08
6.792E+03	3060.8	1.000E+08
5.920E+03	3058.1	1.000E+08
5.160E+03	3055.3	1.000E+08
4.498E+03	3052.2	1.000E+08
3.921E+03	3048.7	1.000E+08
3.418E+03	3044.6	1.000E+08
2.979E+03	3039.7	1.000E+08
2.597E+03	3034.1	1.000E+08
2.263E+03	3027.8	1.000E+08
1.973E+03	3020.9	1.000E+08
1.720E+03	3013.3	1.000E+08
1.499E+03	3005.0	1.000E+08
1.307E+03	2996.1	1.000E+08
1.139E+03	2986.7	1.000E+08
9.927E+02	2977.3	1.000E+08
8.653E+02	2967.7	1.000E+08
7.543E+02	2957.9	1.000E+08
6.575E+02	2948.4	1.000E+08
5.731E+02	2939.4	1.000E+08
4.995E+02	2931.3	1.000E+08
4.354E+02	2924.4	1.000E+08
3.795E+02	2918.4	1.000E+08
3.308E+02	2914.0	1.000E+08
2.884E+02	2911.7	1.000E+08
2.514E+02	2912.0	1.000E+08
2.191E+02	2915.7	1.000E+08
1.910E+02	2921.5	1.000E+08
1.665E+02	2929.6	1.000E+08
1.451E+02	2940.0	1.000E+08
1.265E+02	2951.8	1.000E+08
1.102E+02	2964.0	1.000E+08
9.610E+01	2975.6	1.000E+08
8.376E+01	2985.2	1.000E+08
7.301E+01	2994.7	1.000E+08
6.364E+01	3004.2	1.000E+08
5.547E+01	3012.5	1.000E+08
4.835E+01	3019.9	1.000E+08
4.215E+01	3025.2	1.000E+08
3.674E+01	3028.7	1.000E+08
3.202E+01	3031.2	1.000E+08
2.791E+01	3032.8	1.000E+08
2.433E+01	3033.6	1.000E+08
2.121E+01	3033.6	1.000E+08
1.849E+01	3032.3	1.000E+08
1.611E+01	3030.6	1.000E+08
1.405E+01	3028.4	1.000E+08
1.224E+01	3026.0	1.000E+08
1.067E+01	3023.5	1.000E+08
9.302E+00	3020.7	1.000E+08
8.108E+00	3017.8	1.000E+08
7.068E+00	3015.1	1.000E+08
6.161E+00	3012.4	1.000E+08
5.370E+00	3010.0	1.000E+08
4.681E+00	3007.8	1.000E+08
4.080E+00	3005.8	1.000E+08
3.556E+00	3003.9	1.000E+08
3.100E+00	3002.2	1.000E+08
2.702E+00	3000.7	1.000E+08
2.355E+00	2999.4	1.000E+08
2.053E+00	2998.5	1.000E+08
1.790E+00	2998.2	1.000E+08
1.560E+00	2998.6	1.000E+08
1.360E+00	2999.8	1.000E+08
1.185E+00	3001.8	1.000E+08
1.033E+00	3004.9	1.000E+08
9.005E-01	3009.0	1.000E+08
7.849E-01	3013.9	1.000E+08
6.842E-01	3019.6	1.000E+08
5.964E-01	3025.9	1.000E+08
5.198E-01	3032.6	1.000E+08
4.531E-01	3039.3	1.000E+08
3.949E-01	3045.8	1.000E+08
3.443E-01	3051.4	1.000E+08
3.001E-01	3055.9	1.000E+08
2.616E-01	3059.3	1.000E+08
2.280E-01	3061.5	1.000E+08
1.987E-01	3063.0	1.000E+08
1.732E-01	3064.1	1.000E+08
1.510E-01	3069.6	1.000E+08
1.316E-01	3081.9	1.000E+08
1.147E-01	3102.2	1.000E+08
1.000E-01	3131.1	1.000E+08
