#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.113E+05	2864.5	1.000E+08
1.039E+05	2860.6	1.000E+08
9.042E+04	2857.6	1.000E+08
7.872E+04	2854.5	1.000E+08
6.854E+04	2851.6	1.000E+08
5.967E+04	2848.6	1.000E+08
5.195E+04	2845.6	1.000E+08
4.523E+04	2842.6	1.000E+08
3.938E+04	2839.4	1.000E+08
3.428E+04	2836.0	1.000E+08
2.985E+04	2832.5	1.000E+08
2.599E+04	2828.9	1.000E+08
2.263E+04	2825.2	1.000E+08
1.970E+04	2821.4	1.000E+08
1.715E+04	2817.6	1.000E+08
1.493E+04	2813.6	1.000E+08
1.300E+04	2809.7	1.000E+08
1.132E+04	2805.7	1.000E+08
9.854E+03	2801.7	1.000E+08
8.579E+03	2797.8	1.000E+08
7.470E+03	2793.8	1.000E+08
6.503E+03	2790.0	1.000E+08
5.662E+03	2786.2	1.000E+08
4.929E+03	2782.7	1.000E+08
4.292E+03	2779.5	1.000E+08
3.737E+03	2776.3	1.000E+08
3.253E+03	2773.5	1.000E+08
2.832E+03	2771.0	1.000E+08
2.466E+03	2769.3	1.000E+08
2.147E+03	2768.9	1.000E+08
1.869E+03	2770.4	1.000E+08
1.627E+03	2775.0	1.000E+08
1.417E+03	2784.3	1.000E+08
1.234E+03	2799.7	1.000E+08
1.074E+03	2822.9	1.000E+08
9.350E+02	2853.5	1.000E+08
8.141E+02	2890.5	1.000E+08
7.088E+02	2929.5	1.000E+08
6.171E+02	2968.5	1.000E+08
5.372E+02	2997.4	1.000E+08
4.677E+02	3024.1	1.000E+08
4.072E+02	3049.6	1.000E+08
3.546E+02	3072.8	1.000E+08
3.087E+02	3093.8	1.000E+08
2.688E+02	3113.0	1.000E+08
2.340E+02	3130.5	1.000E+08
2.037E+02	3146.4	1.000E+08
1.774E+02	3160.7	1.000E+08
1.544E+02	3173.2	1.000E+08
1.344E+02	3183.9	1.000E+08
1.170E+02	3192.8	1.000E+08
1.019E+02	3199.6	1.000E+08
8.872E+01	3204.5	1.000E+08
7.725E+01	3207.6	1.000E+08
6.725E+01	3209.1	1.000E+08
5.855E+01	3209.2	1.000E+08
5.098E+01	3208.1	1.000E+08
4.438E+01	3206.1	1.000E+08
3.864E+01	3203.4	1.000E+08
3.364E+01	3200.2	1.000E+08
2.929E+01	3196.6	1.000E+08
2.550E+01	3193.0	1.000E+08
2.220E+01	3189.4	1.000E+08
1.933E+01	3185.8	1.000E+08
1.683E+01	3182.5	1.000E+08
1.465E+01	3179.5	1.000E+08
1.276E+01	3177.1	1.000E+08
1.111E+01	3175.2	1.000E+08
9.670E+00	3173.9	1.000E+08
8.419E+00	3172.8	1.000E+08
7.330E+00	3172.0	1.000E+08
6.382E+00	3171.4	1.000E+08
5.556E+00	3171.1	1.000E+08
4.837E+00	3170.9	1.000E+08
4.211E+00	3170.5	1.000E+08
3.667E+00	3170.0	1.000E+08
3.192E+00	3169.7	1.000E+08
2.779E+00	3169.7	1.000E+08
2.420E+00	3170.2	1.000E+08
2.107E+00	3171.3	1.000E+08
1.834E+00	3172.9	1.000E+08
1.597E+00	3175.1	1.000E+08
1.390E+00	3177.5	1.000E+08
1.210E+00	3180.0	1.000E+08
1.054E+00	3182.3	1.000E+08
9.175E-01	3184.2	1.000E+08
7.988E-01	3185.8	1.000E+08
6.955E-01	3187.1	1.000E+08
6.055E-01	3188.2	1.000E+08
5.272E-01	3189.2	1.000E+08
4.590E-01	3190.4	1.000E+08
3.996E-01	3192.1	1.000E+08
3.479E-01	3194.6	1.000E+08
3.029E-01	3197.8	1.000E+08
2.637E-01	3201.5	1.000E+08
2.296E-01	3205.4	1.000E+08
1.999E-01	3208.7	1.000E+08
1.740E-01	3211.0	1.000E+08
1.515E-01	3213.2	1.000E+08
1.319E-01	3221.7	1.000E+08
1.149E-01	3239.0	1.000E+08
1.000E-01	3265.1	1.000E+08
