#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
1.521E+03	2605.0	1.000E+08
1.450E+03	2598.8	1.000E+08
1.317E+03	2596.2	1.000E+08
1.197E+03	2593.4	1.000E+08
1.088E+03	2591.0	1.000E+08
9.883E+02	2588.9	1.000E+08
8.980E+02	2586.8	1.000E+08
8.159E+02	2584.9	1.000E+08
7.414E+02	2583.1	1.000E+08
6.736E+02	2581.3	1.000E+08
6.121E+02	2579.6	1.000E+08
5.561E+02	2578.0	1.000E+08
5.053E+02	2576.5	1.000E+08
4.592E+02	2575.1	1.000E+08
4.172E+02	2573.8	1.000E+08
3.791E+02	2572.5	1.000E+08
3.444E+02	2571.2	1.000E+08
3.130E+02	2569.9	1.000E+08
2.844E+02	2568.7	1.000E+08
2.584E+02	2567.5	1.000E+08
2.348E+02	2566.5	1.000E+08
2.133E+02	2565.8	1.000E+08
1.938E+02	2565.3	1.000E+08
1.761E+02	2565.2	1.000E+08
1.600E+02	2565.6	1.000E+08
1.454E+02	2566.6	1.000E+08
1.321E+02	2568.5	1.000E+08
1.201E+02	2571.6	1.000E+08
1.091E+02	2576.4	1.000E+08
9.912E+01	2583.6	1.000E+08
9.006E+01	2594.2	1.000E+08
8.183E+01	2609.8	1.000E+08
7.436E+01	2632.3	1.000E+08
6.756E+01	2662.6	1.000E+08
6.139E+01	2699.9	1.000E+08
5.578E+01	2742.5	1.000E+08
5.068E+01	2786.4	1.000E+08
4.605E+01	2828.8	1.000E+08
4.184E+01	2868.1	1.000E+08
3.802E+01	2903.8	1.000E+08
3.455E+01	2931.7	1.000E+08
3.139E+01	2957.3	1.000E+08
2.852E+01	2977.9	1.000E+08
2.592E+01	2994.7	1.000E+08
2.355E+01	3011.5	1.000E+08
2.140E+01	3026.7	1.000E+08
1.944E+01	3039.3	1.000E+08
1.766E+01	3049.7	1.000E+08
1.605E+01	3058.2	1.000E+08
1.458E+01	3064.8	1.000E+08
1.325E+01	3069.9	1.000E+08
1.204E+01	3073.7	1.000E+08
1.094E+01	3076.3	1.000E+08
9.941E+00	3077.9	1.000E+08
9.033E+00	3078.7	1.000E+08
8.207E+00	3078.7	1.000E+08
7.458E+00	3078.1	1.000E+08
6.776E+00	3077.0	1.000E+08
6.157E+00	3075.5	1.000E+08
5.594E+00	3073.7	1.000E+08
5.083E+00	3071.7	1.000E+08
4.619E+00	3069.5	1.000E+08
4.197E+00	3067.2	1.000E+08
3.813E+00	3064.9	1.000E+08
3.465E+00	3062.5	1.000E+08
3.148E+00	3060.4	1.000E+08
2.861E+00	3058.4	1.000E+08
2.599E+00	3056.9	1.000E+08
2.362E+00	3055.8	1.000E+08
2.146E+00	3055.3	1.000E+08
1.950E+00	3054.9	1.000E+08
1.772E+00	3055.0	1.000E+08
1.610E+00	3055.7	1.000E+08
1.463E+00	3057.1	1.000E+08
1.329E+00	3059.4	1.000E+08
1.208E+00	3062.7	1.000E+08
1.097E+00	3067.5	1.000E+08
9.971E-01	3073.6	1.000E+08
9.060E-01	3077.1	1.000E+08
8.232E-01	3080.7	1.000E+08
7.480E-01	3084.9	1.000E+08
6.796E-01	3089.9	1.000E+08
6.175E-01	3096.0	1.000E+08
5.611E-01	3102.9	1.000E+08
5.098E-01	3110.6	1.000E+08
4.632E-01	3120.4	1.000E+08
4.209E-01	3133.2	1.000E+08
3.825E-01	3148.7	1.000E+08
3.475E-01	3163.7	1.000E+08
3.158E-01	3180.5	1.000E+08
2.869E-01	3200.4	1.000E+08
2.607E-01	3222.7	1.000E+08
2.369E-01	3248.1	1.000E+08
2.152E-01	3275.3	1.000E+08
1.956E-01	3304.7	1.000E+08
1.777E-01	3334.9	1.000E+08
1.615E-01	3364.8	1.000E+08
1.467E-01	3392.3	1.000E+08
1.333E-01	3414.4	1.000E+08
1.211E-01	3429.5	1.000E+08
1.101E-01	3437.1	1.000E+08
1.000E-01	3450.6	1.000E+08
