#(dyne/cm2)	(K)	(cm2)
Pressure	Temp	Kzz
4.897E+02	2462.9	1.000E+08
4.694E+02	2452.2	1.000E+08
4.314E+02	2449.5	1.000E+08
3.964E+02	2445.7	1.000E+08
3.643E+02	2442.3	1.000E+08
3.347E+02	2439.2	1.000E+08
3.076E+02	2436.4	1.000E+08
2.827E+02	2433.7	1.000E+08
2.598E+02	2431.1	1.000E+08
2.387E+02	2428.7	1.000E+08
2.193E+02	2426.3	1.000E+08
2.016E+02	2424.1	1.000E+08
1.852E+02	2421.9	1.000E+08
1.702E+02	2419.8	1.000E+08
1.564E+02	2417.9	1.000E+08
1.437E+02	2416.1	1.000E+08
1.321E+02	2414.4	1.000E+08
1.214E+02	2413.0	1.000E+08
1.115E+02	2411.9	1.000E+08
1.025E+02	2411.1	1.000E+08
9.418E+01	2410.7	1.000E+08
8.655E+01	2410.6	1.000E+08
7.953E+01	2411.0	1.000E+08
7.308E+01	2411.8	1.000E+08
6.716E+01	2413.1	1.000E+08
6.172E+01	2415.2	1.000E+08
5.671E+01	2418.2	1.000E+08
5.212E+01	2422.4	1.000E+08
4.789E+01	2428.5	1.000E+08
4.401E+01	2437.0	1.000E+08
4.044E+01	2449.4	1.000E+08
3.716E+01	2468.9	1.000E+08
3.415E+01	2498.2	1.000E+08
3.138E+01	2538.5	1.000E+08
2.884E+01	2586.9	1.000E+08
2.650E+01	2636.0	1.000E+08
2.435E+01	2680.1	1.000E+08
2.238E+01	2719.1	1.000E+08
2.056E+01	2753.3	1.000E+08
1.890E+01	2782.9	1.000E+08
1.736E+01	2808.9	1.000E+08
1.596E+01	2831.7	1.000E+08
1.466E+01	2852.0	1.000E+08
1.347E+01	2869.8	1.000E+08
1.238E+01	2885.5	1.000E+08
1.138E+01	2899.2	1.000E+08
1.046E+01	2909.3	1.000E+08
9.608E+00	2917.8	1.000E+08
8.829E+00	2925.1	1.000E+08
8.114E+00	2931.5	1.000E+08
7.456E+00	2936.9	1.000E+08
6.852E+00	2941.3	1.000E+08
6.296E+00	2944.9	1.000E+08
5.786E+00	2947.8	1.000E+08
5.317E+00	2949.8	1.000E+08
4.886E+00	2951.4	1.000E+08
4.490E+00	2952.3	1.000E+08
4.126E+00	2952.8	1.000E+08
3.791E+00	2952.8	1.000E+08
3.484E+00	2952.5	1.000E+08
3.201E+00	2951.8	1.000E+08
2.942E+00	2951.1	1.000E+08
2.703E+00	2950.1	1.000E+08
2.484E+00	2949.2	1.000E+08
2.283E+00	2948.3	1.000E+08
2.098E+00	2947.4	1.000E+08
1.928E+00	2946.5	1.000E+08
1.771E+00	2945.8	1.000E+08
1.628E+00	2945.3	1.000E+08
1.496E+00	2945.1	1.000E+08
1.375E+00	2945.3	1.000E+08
1.263E+00	2946.0	1.000E+08
1.161E+00	2947.3	1.000E+08
1.067E+00	2949.7	1.000E+08
9.802E-01	2952.7	1.000E+08
9.008E-01	2954.5	1.000E+08
8.277E-01	2956.9	1.000E+08
7.606E-01	2960.1	1.000E+08
6.990E-01	2965.1	1.000E+08
6.423E-01	2976.9	1.000E+08
5.902E-01	2997.8	1.000E+08
5.424E-01	3028.2	1.000E+08
4.984E-01	3068.3	1.000E+08
4.580E-01	3117.2	1.000E+08
4.209E-01	3166.5	1.000E+08
3.868E-01	3207.6	1.000E+08
3.554E-01	3241.2	1.000E+08
3.266E-01	3268.2	1.000E+08
3.001E-01	3290.9	1.000E+08
2.758E-01	3311.5	1.000E+08
2.534E-01	3331.0	1.000E+08
2.329E-01	3350.4	1.000E+08
2.140E-01	3369.9	1.000E+08
1.967E-01	3389.6	1.000E+08
1.807E-01	3409.2	1.000E+08
1.661E-01	3428.2	1.000E+08
1.526E-01	3445.5	1.000E+08
1.402E-01	3459.6	1.000E+08
1.289E-01	3468.4	1.000E+08
1.184E-01	3470.1	1.000E+08
1.088E-01	3463.3	1.000E+08
1.000E-01	3447.2	1.000E+08
